,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
1584,Noix de Pecan,8718885870763,,,,,,['France'],[],,,[],,?,691,2891 kj(691 kcal),72,"6,2","4,3",4,"9,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,Vivi bene frollini integrali ricchi di fibre - Selex,8003100891655,,,['Selex'],,,['France'],[],,,[],,?,472,1975 kj(472 kcal),"18,1","2,2","63,2","18,4",9,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,2 burgers aux légumes,26927442,,,,,,['France'],[],,,[],,?,114,477 kj(114 kcal),"2,7","0,4","9,2","2,7",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Saumon,5400742102515,,,,,,['France'],[],,,[],,?,205,858 kj(205 kcal),"13,1","2,3","0,6","0,14","21,2",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Vinaigre de vin rouge au jus d’echalotte,3077314188226,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Reblochon de savoir,2890665063179,,,,,,['France'],[],,,[],,?,306,1280 kj(306 kcal),"25,2","18,1","0,9","0,5","18,9","1,53","0,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,suisse long pepites,2644795013128,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,Instant noodles,8710998000037,,,,,,['France'],[],,,[],,?,470,1966 kj(470 kcal),20,"8,1","63,5",1,9,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,Thon entier,3760285800494,,,,,,['France'],[],,,[],,?,198,828 kj(198 kcal),"8,21","1,53",0,0,"29,1","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Cotolette vegetali surgelate,8027890007348,,,,,,['France'],[],,,[],,?,235,983 kj(235 kcal),12,"1,4","21,9","1,2","12,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Fraise Line Clery - Fraise De Provence,3760027203064,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,Olives à la farce d’anchois,3760300060827,,,,,,['France'],[],,,[],,?,152,636 kj(152 kcal),"15,7","2,42","3,1",3,1,"15,7","6,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,Chipolatas,3700133916731,,,,,,['France'],[],,,[],,?,260,1088 kj(260 kcal),22,"7,7","0,5","0,5",15,"1,9","0,76",E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,22 g,en quantité élevée,7.7 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+9%,+9%,+16%,+7%,-57%,-21%,-3%,+6%,+6%,18,+8%,D,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,
1597,Battuta di equino,8021681135005,,,,,,['France'],[],,,[],,?,114,477 kj(114 kcal),"2,82","1,01","2,84",0,"19,36","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Schwarzwaldperle Renchtalquelle,4104760421641,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Fromage de tête  taïba,3416510013695,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",,,,,,,,,,,,,,,,,,,,,,,,,,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,,,,
1600,Saucisses de volaille  taïba,3416510013923,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,,,,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,
1601,Jus de Bergamote,8056515590286,,,,,,['France'],[],,,[],,?,35,146 kj(35 kcal),"0,2",0,"7,7","3,2","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Saucisses de volaille taïba,3416510013664,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,,,,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,
1603,Viande hachée 650 g,3700502700459,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Melange sportif,0202213037594,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Coquillettes,3770004421558,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Escalope de Dinde,2431638026441,,,,,,['France'],[],,,[],,?,97,406 kj(97 kcal),24,23,0,0,1,"1,1","0,44",D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,24 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,,-20%,-19%,+1718%,+5607%,-100%,-100%,-96%,+99%,+99%,15,,D,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,
1607,Black cherry gelatin dessert - Great Value,0078742241838,,,['Great Value'],,,['France'],[],,,[],,?,500,2092 kj(500 kcal),0,0,0,0,100,"12,5",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,gateau nutella,0260501045928,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Canard fermier bio,0226661040548,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,May tea jasmin,2427686007587,,,,,,['France'],[],,,[],,?,18,75 kj(18 kcal),0,0,"4,3","4,2",0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Curcuma moulu,3166296600304,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Rognon de boeuf cube,2224009020731,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Soupe déshydratée,8712566457601,,,,,,['France'],[],,,[],,?,47,197 kj(47 kcal),2,2,"5,8",2,1,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Schiacciatelle Al Rosmarino,8011795101218,,,,,,['France'],[],,,[],,?,438,1833 kj(438 kcal),"15,3","2,6","63,2","3,8","10,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Nasiona chia,83012921,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Lentilles gourmanded,3600900022200,,,,,,['France'],[],,,[],,?,134,561 kj(134 kcal),"2,2","0,8",18,"1,7","8,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Pain aux céréales,3940250001174,,,,,,['France'],[],,,[],,?,9,38 kj(9 kcal),0,0,"0,7",0,"0,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Completement amande - Alpro - 350g,5411188133872,350g,['pot en carton'],['Alpro'],['Sans gluten'],,['France'],"['Eau', 'amande ', '6,8%', ' ', 'Espagne et Italiel amidn Pest contenir des traces de fruits à coque ', ""pas d'arachides aromatisé"", ' e', 'sucre', 'phosphate tricalcique', 'vitamines', 'BI2', 'D2 Paaturel', 'ferments ', 'S thermophilus', 'L', ' bulgaricus Sans produits laitiers', 'ni gluten', ' kconsommer']",,['Fruits à coque'],[],,?,64,268 kj(64 kcal),"3,3","0,3","6,3",,"1,5","0,02","0,008",,,,['P'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Viande bovine bio,0202499039169,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Huile d’olive extra vierge au citron,3435567000021,,,,,,['France'],[],,,[],,?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Coquillettes,3700937000483,,,,,,['France'],[],,,[],,?,363,1519 kj(363 kcal),1,"0,14","74,5",5,"11,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,Ribs,2443432049137,,,,,"['FR 56.010.001 CE', 'Baud (Morbihan, France)']",['France'],[],,,[],,?,274,1146 kj(274 kcal),22,22,2,"1,3",17,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Farina di grano tenero la buona farina,8007793000219,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Alubias Granja,8412833403699,,,,,,['France'],[],,,[],,?,86,360 kj(86 kcal),"0,6","0,1",12,"0,5","5,4","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Choco & Fruit,8004735097368,,,,,,['France'],[],,,[],,?,473,1979 kj(473 kcal),"21,8","13,3",62,"59,1","3,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Sirop citron - citron vert 0%,18561443,,,,,,['France'],[],,,[],,?,13,54 kj(13 kcal),0,0,"0,4","0,4",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,Mayo Legeresse ML200 Royal Kra,7622210668950,,,,,,['France'],[],,,[],,?,256,1071 kj(256 kcal),25,3,6,"1,5","0,6","1,81","0,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Salsiccia dIGPollo delight,8007281607173,,,,,,['France'],[],,,[],,?,107,448 kj(107 kcal),6,"1,5",4,0,13,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Lokoums,2600108019614,,,,,,['France'],[],,,[],,?,352,1473 kj(352 kcal),"0,5","0,3",85,76,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Mes galettes à poêler Boulgour Chèvre &Mi,3412940500057,,,,,,['France'],[],,,[],,?,177,741 kj(177 kcal),"7,4","1,8","21,7",4,"4,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Vinaigre de vin jaune,3000000005064,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,3450601031755,3450601031755,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Nuggets de poulet,8718564159080,,,,,,['France'],[],,,[],,?,283,1184 kj(283 kcal),"16,2","3,3","22,3","0,8","11,8","1,6","0,64",D,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,16.2 g,en quantité modérée,3.3 g,en quantité modérée,0.8 g,en faible quantité,1.6 g,en quantité élevée,,+26%,+26%,+45%,+65%,+33%,-39%,-8%,+37%,+37%,13,+254%,D,+254%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,
1634,Farine De Ble Type 55,3558630510552,,,,,,['France'],[],,,[],,?,350,1464 kj(350 kcal),1,"0,2",71,"2,2",11,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'en:White wheat flours', 'Farines de blé type T55']",,,,1 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,,,,+2%,+2%,-10%,-10%,+1%,+59%,+7%,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,
1635,Ecalope de dinde,2227360023489,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Potato-up,2957678300621,,,,"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,248,1038 kj(248 kcal),"7,5","0,9",40,"1,2",3,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Souris d'agneau confite,2224658076622,,['Etui en carton'],,,,['France'],[],,,[],,?,125,523 kj(125 kcal),5,"1,9","1,9",0,18,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Pesto Alla Genovese,8020454010242,,,,,,['France'],[],,,[],,?,446,1866 kj(446 kcal),"45,6","5,3","4,1","3,7","3,8","2,6","1,04",C,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic', 'en:Pesto alla genovese']",,,,45.6 g,en quantité élevée,5.3 g,en quantité élevée,3.7 g,en faible quantité,2.6 g,en quantité élevée,,-1%,-0%,+3%,-19%,-31%,+62%,-20%,+5%,+5%,20,+3%,E,+3%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,
1639,Creme d’artichaut et truffe d’été,8025386005212,,,,,,['France'],[],,,[],,?,277,1159 kj(277 kcal),"28,1","3,9","2,28","1,2","1,8","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Pommes,3661218115329,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Perrier energize,7613287172532,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,10,42 kj(10 kcal),0,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Saint-Agur frais plaisir,3272770015585,,['Frais'],"['Saint Agur', 'Savencia']",,,['France'],[],,,[],,1127,272,1127 kj(272 kcal),"24,2","16,8","3,6","2,4",10,"1,1","0,44",D,,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages de vache', 'Fromages à tartiner']",,,,24.2 g,en quantité élevée,16.8 g,en quantité élevée,2.4 g,en faible quantité,1.1 g,en quantité modérée,+6%,+17%,+15%,+16%,+19%,+7%,-19%,+19%,-6%,-6%,12,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
1643,Barquette ananas,2868501021065,,,,,,['France'],[],,,[],,?,42.381,177 kj(42 kcal),"0,5","0,01",9,"7,1","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Thé des geishas,3770003138495,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Jambon cuit rôti,8007141515211,,,,,,['France'],[],,,[],,?,154,644 kj(154 kcal),"8,2","2,9",1,1,19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Piment de Cayenne moulu,3282855430196,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Galettes céréale emmental et comté,3229820801919,,,,"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,214,895 kj(214 kcal),"8,7","3,5",24,"1,5","7,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Tomates marinées rouge et jaune - Atelier Blinis,3292070010288,,,['Atelier Blinis'],,,['France'],[],,,[],,?,115,481 kj(115 kcal),"5,3","0,5",11,"8,6","3,1","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Brioches Fonteneau 85600 Bouffere,2864200034313,,,,,,['France'],[],,,[],,?,976,4084 kj(976 kcal),"16,2","10,6","51,7","12,5","6,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Pâtes alimentaires de blé dur biologique,8015197010697,,,,,,['France'],[],,,[],,?,356,1490 kj(356 kcal),"1,6","0,4","72,4","2,5","11,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,8005045010689,8005045010689,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Ras el hanout,3760133674499,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,Émincés de boeuf sauce au poivre - Marie,3248830000976,,,['Marie'],,,['France'],[],,,[],,?,144,602 kj(144 kcal),"8,4",5,"8,6","0,9","8,1","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Nigelle,8412279399150,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,6 crêpes nature,0221653018376,,,,,,['France'],[],,,[],,?,190,795 kj(190 kcal),"2,2","0,9",36,16,"6,2","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Filets de poulet,0219966025129,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
1657,Cremz legere,3155251601388,,,,,,['France'],[],,,[],,?,194,812 kj(194 kcal),18,12,"5,7","3,8","2,3","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Mezze penne consorzio agrario sardegna,8003919205261,,,,,,['France'],[],,,[],,?,345,1443 kj(345 kcal),"1,5","0,4",71,"3,4",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Pane di altamura dop,8003451506055,,,,,,['France'],[],,,[],,?,265,1109 kj(265 kcal),2,"0,4",49,"2,3",11,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Port salut,0200118015815,,,,,,['France'],[],,,[],,?,314,1314 kj(314 kcal),"17,5",1,"0,1","0,1",20,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,Tomate cerise,9421442450016,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Nuggets fish ans chips colin - Findus,3599741006008,,,['Findus'],"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,236,987 kj(236 kcal),12,"0,9",22,"0,6","9,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,3273220073544,3273220073544,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Bière au chanvre,3760274430244,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Vin,3760090791659,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,blanc moelleux,3760041180020,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Néo-barre glacée,3770016195324,,,,,,['France'],[],,,[],,?,229,958 kj(229 kcal),"19,16","6,86","26,2","25,26","2,75","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Chorba frik,6130225700318,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Baked beans in tomato sauce - Coles,9310645109589,,,['Coles'],,,['France'],[],,,[],,?,81,339 kj(81 kcal),"0,6","0,1","11,3","4,8","4,3","0,238","0,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Taba,54140813,,,,,,['France'],[],,,[],,?,2.3,10 kj(2 kcal),0,0,"0,3",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Jambon fumé cantal - Monique Ranou,3250392746100,,,['Monique Ranou'],,,['France'],[],,,[],,?,225,941 kj(225 kcal),9,"3,7","23,6","1,5","10,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,ravioli à l'ancienne - panzani - 800g,1261453947048,800 g,['Boîte de conserve'],['Panzani'],,"['FR 02.617.001 CE', 'Pouilly-sur-Serre (Aisne, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,['Epicerie'],['France'],['viande bovine française'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['GS'],,,,
1673,Lapin James,3272051401687,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,Lupin,6111249601362,,,,,,['France'],[],,,[],,?,104,435 kj(104 kcal),2,"0,2","10,5","0,5","9,6",7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Filets de limande du nord meuniere,3492500052943,,,,,,['France'],[],,,[],,?,183,766 kj(183 kcal),"8,1","0,9",14,"0,5",14,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Framboise,3398284423538,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Tartellettes framboises,0202281019683,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Cookie cone caramel,8436575295763,,,,,,['France'],[],,,[],,?,323,1351 kj(323 kcal),16,11,41,27,"3,3","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Biscuits petit déjeuner,0201166004561,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Voglio sta bene mix di semi IGP,8022424000161,,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,['France'],[],,,[],,?,604,2527 kj(604 kcal),"43,8","5,7","18,6","1,3","25,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Bocaditos olive and rosemary,8413164018552,,,,,,['France'],[],,,[],,?,504,2109 kj(504 kcal),25,"2,7",60,"1,7","8,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Burge al formaggio montasio con zucca e carote,8022822400174,,,,,,['France'],[],,,[],,?,194,812 kj(194 kcal),"8,1","5,5",19,"2,1","9,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Choux parisiens,5400112194324,,,,,,['France'],[],,,[],,?,232,971 kj(232 kcal),13,"7,9",27,21,"2,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,chocolat - Astir - 160g,5201709069083,160 g,['Aluminium'],['Astir'],['Pur beurre de cacao'],,['France'],"['Sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiant: lécithine de soja', 'vanilline ', 'Cacao min 28% - Lait min 14%', ' Produit en UE par ASTIR SA MILK CHOCOLATE INGREDIENTS: Sugar', 'whole milk powder', 'cocoa butter', 'cocoa mass', 'Cocoa solids 28% minimum', 'Milk solids 14% mimimum', ' emulsifier: Soya lecithin', 'vanillin Produced in EU by ASTIR SA Poids net/Net weight: 160q ES']",['E322i - Lécithine'],,['Non végétalien'],4,?,?,,"30,6",,"59,1","52,8",?,,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Sculptures en chocolat']",,,,30.6 g,en quantité élevée,,,52.8 g,en quantité élevée,,,,,,-9%,,+11%,+3%,,,,,,,,,,,,,,,['Lidl'],,,,
1685,Defend⁺ con propoli,8009600000054,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,3060921451029,3060921451029,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Escalopes de poulet fermier,0263212044549,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Lentille Canada,8719326089003,,,,,,['France'],[],,,[],,?,117,490 kj(117 kcal),"0,4","0,1",20,"1,8",9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
