,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,additives,nova_score,manufacturing,markets,allergens,ingredients_origins,link,origin_detail,brand_owner,palm_ingredients,producer_info
334,Thunfisch-Filets im Eigenen Saft - REWE Beste Wahl - 185g,4388860585926,185 g,['REWE Beste Wahl'],"['France', 'Allemagne']","['Thunfisch 70 %', 'Wasser', 'Speisesalz']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,113,473 kj(113 kcal),"0,6",0,0,0,27,1,"0,4",C,"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon']","['Pêche durable', 'Pêche durable MSC']",0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,-51%,-49%,-95%,-100%,-100%,-100%,+11%,+1%,+1%,0,-100%,B,-100%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,['TH 2065'],,"['Dose', 'Produkt', 'Papier']",,3,['Thailand'],['REWE'],['Poisson'],['Maldives'],,,,,
335,Le grillon Charentais - Maison Marthe,3760261831146,,['Maison Marthe'],['France'],"['Epaule et poitrine de pore', 'saindoux', 'sel', 'thym', 'ail', 'poivre', 'bouillon ', 'cèleri', 'poireau', 'oignon', 'carotte', 'ail']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,685,2866 kj(685 kcal),20,"8,3","0,3","0,2",21,"0,56","0,224",,"['Viandes', 'Charcuteries', 'Porc', 'Porc français']","['Viande Française', 'Viande Porcine Française']",20 g,en quantité modérée,8.3 g,en quantité élevée,0.2 g,en faible quantité,0.56 g,en quantité modérée,,+244%,+244%,+48%,+86%,-57%,-71%,-2%,-78%,-78%,18,+34%,D,+34%,,,,,,,,,,['Frais'],,3,,,['Céleri'],,,,,,
336,Edeka Gut & Günstig California Style Bagels Sesam - 4x 85g,4311501605202,4 x 85 g,['Edeka'],"['France', 'Allemagne']","['Maisgrieß', 'Blumenöl', 'Mar', 'Zucker', 'Hefe', 'Weizenstärke', 'Malzmehl', 'Mono  und Diglyce de von Spei', 'E322', 'Speisesalz', 'Tmittel', 'TWeizenmehl', 'Es garine', 'Wasser', 'Dinkelmehl', 'Sesam', 'Gemaltzen Weizenmehl', 'Palmfett', 'Konservierungsstoff', 'Emulgator', 'Eine Weizenart Fi Sa', 'Sojamehl', 'Guarkernmehi', 'Sefettsäuren', 'Rnsöl', 'Verdickungsmittel', 'Gmzun', 'B Sorbinsäure', 'Sonnen', 'Back', 'Dinkel', 'Er Lecithine']",['Huile de palme'],?,281,1176 kj(281 kcal),"3,8","1,2","51,4","6,7","8,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],['E322 - Lécithines'],4,,,"['Gluten', 'Graines de sésame', 'Soja']",,,,,,
337,Funghi Cardoncelli,8012666520336,,,['France'],[],[],?,62,259 kj(62 kcal),5,"0,8","0,5","0,5","3,1","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Poivron doux farcis au thon,3760133675021,,,['France'],[],[],?,178,745 kj(178 kcal),24,18,24,18,6,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,mélange de fruits rouges,3111950801801,,,['France'],[],[],?,357,1494 kj(357 kcal),"0,2",0,"17,2","15,8","0,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Acciughe,8410628461404,,,['France'],[],[],?,213,891 kj(213 kcal),11,"2,2","0,6",0,28,16,"6,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Tomates grappes - Savéol,3435535001951,,['Savéol'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,"2 pavés de viande bovine attendris, marinés",4056489193821,,,['France'],[],[],?,107,448 kj(107 kcal),"2,3","0,7","0,6","0,1",21,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Croquets apéritifs -,3571371950159,,,['France'],[],[],?,429,1795 kj(429 kcal),10,"1,3",69,"9,6",13,"3,2","1,28",,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,,
344,Végé bolo - 300g,3770008034440,300 g,,['France'],['dégueulasse sucré'],[],?,26.56,111 kj(26 kcal),0,0,7,6,1,1,"0,4",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Mozzarella di Bufala Campana DOP - 250g,3664042003572,250 g,,['France'],[],[],?,262,1096 kj(262 kcal),23,16,"0,8","0,8","0,61","0,61","0,244",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne', 'Mozzarella di Bufala Campana']",,23 g,en quantité élevée,16 g,en quantité élevée,0.8 g,en faible quantité,0.61 g,en quantité modérée,,-2%,-1%,+1%,+3%,+10%,+36%,-96%,-0%,-0%,15,+46%,D,+46%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
346,Barbera Olio Extra Vergine Famiglia 1l,8002591904356,,,['France'],[],[],?,840,3515 kj(840 kcal),92,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Art de Vivre Blanc - Gérard Bertrand - 75cl,3514123112412,75 cl,['Gérard Bertrand'],['France'],[],[],?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Sud de france']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,"['Verre', 'Bouteille']",,,['France'],,['Anhydride sulfureux et sulfites'],['France'],https://www.gerard-bertrand.com/,,,,
348,Protein 30,4260648130231,,,['France'],[],[],?,376,1573 kj(376 kcal),17,14,30,"2,4",30,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Boisson Désaltérante (orange ),0055577421031,,,['France'],"['water', 'sugar', 'dextrose', 'citric acd', 'natural flavour', 'salt', 'sodium citrate', 'monopotassium phosphate', 'gum arabic', 'ester gum colour ingredients: eau', 'sucre', 'dextrose', 'acide citrique monopotassioue gomme abarique', 'gomme ester', 'arome naturel', 'sel', 'citrate de sodium', 'phosphate']",[],?,25.352112676056,106 kj(25 kcal),0,0,"6,338","5,915",0,"0,106","0,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['mixed plastic-bottle'],"['E331 - Citrates de sodium', 'E340i - Phosphate monopotassique', ""E414 - Gomme d'acacia""]",4,,,,,,,,,
350,Macaroni demi-complets - Markal - 5kg,3329489330055,5 kg,['Markal'],['France'],['Semoule de blé dur'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,347,1452 kj(347 kcal),"1,8","0,5",69,"3,5",11,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']","['Bio', 'Bio européen', 'IT-BIO-008', 'AB Agriculture Biologique']",1.8 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0 g,en faible quantité,,+5%,+4%,-31%,-28%,+12%,+26%,-5%,-100%,-100%,-1,,A,,,,,,,,,,,"['sachet plastique', 'Sachet en plastique']",,1,,,,,,,,,
351,Surimi râpé -  - 200g,3302740041518,200 g,,['France'],[],[],?,122,510 kj(122 kcal),"4,2","0,4",14,"2,5",7,"1,8","0,72",B,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']","['Sans conservateurs', 'Nutriscore', 'Nutriscore C']",4.2 g,en quantité modérée,0.4 g,en faible quantité,2.5 g,en faible quantité,1.8 g,en quantité élevée,,+3%,+3%,-11%,-38%,+23%,-13%,-6%,+5%,+5%,4,-9%,C,-9%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,"['FR 85.051.005 CE', 'Chantonnay (Vendée, France)']",,,,,,,,,,,,,
352,Tapufin! goût Fraise - 4 * 18g (72g),5391530860321,4 * 18 g (72 g),['Tapufin'],['France'],[],[],1383,330,1383 kj(330 kcal),"21,6","13,6","20,3","18,2","15,5","0,9","0,36",,,"['Sans arômes artificiels', 'Sans colorants artificiels', 'Sans colorants ni arômes artificiels', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spécialité laitière aromatisée goût fraise,"['Carton', 'Plastique']",,,,,,,,,,,
353,Mélange graines - JusteBio - 100g,3700146213643,100 g,['JusteBio'],['France'],"['Graines de courge décortiquées*', 'graines de tournesol décortiquées', 'sarrasin grillé*', 'graines de chanvre décortiquées*']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,573,2397 kj(573 kcal),43,6,17,2,26,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Graines', 'Apéritif', 'Céréales et dérivés', 'Céréales en grains', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de tournesol et dérivés', 'Graines de courge', 'Graines de tournesol', 'Graines de tournesol grillées', 'Sarrasin', 'Graines de courge grillées', 'Mélanges de graines']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans additifs', 'Sans colorants', 'Sans conservateurs', 'Conditionné en France', 'AB Agriculture Biologique', 'Emballage biodégradable et compostable']",43 g,en quantité élevée,6 g,en quantité élevée,2 g,en faible quantité,0 g,en faible quantité,,+63%,+62%,+1314%,+823%,-75%,+24%,+118%,-100%,-100%,7,,C,,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,['EM20010'],Mélange de graines et de sarrasin grillés bio,"['Sec', 'Plastique', 'Sachet']",,3,['France'],['Carrefour'],,['Union Européenne et Non Union Européenne'],https://www.justebio.bio/shop/nosproduits/cereales-et-graines-bio-13/melange-100-graines-bio-321,,,,
354,Confiture artisanale cassis violette - 100g,3760072742945,100 g,,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,5","7,2",0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,0 g,en faible quantité,0 g,en faible quantité,7.2 g,en quantité modérée,0 g,en faible quantité,,-86%,-86%,-100%,-100%,-86%,-86%,-100%,-100%,-100%,0,-100%,B,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
355,Extra Lungo 100% Arabica,3560071234041,,,"['Belgique', 'France']",[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Olivade noire au chèvre frais - SoChèvre,3770010862352,,"['SoChèvre', 'Amaltup']",['France'],[],[],?,234,979 kj(234 kcal),21,"5,4","1,9","0,5","5,3","2,12","0,848",,,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Falafel,8690906006620,,,['France'],[],[],?,501,2096 kj(501 kcal),"17,9","0,5","58,9","10,2","20,6",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Shape shake 2.0 - Foodspring,4260363488341,,['Foodspring'],['France'],[],[],?,352,1473 kj(352 kcal),"7,5","1,9",20,"1,7",42,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Cabillaud - Casino,3222477491441,,['Casino'],['France'],[],[],?,77,322 kj(77 kcal),"0,6",0,0,0,18,"0,18","0,072",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,
360,Crème glacée caramel au beurre salé,3770007582546,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Karaneige - Sucralys,3760195980606,,['Sucralys'],['France'],[],[],?,394,1648 kj(394 kcal),"4,3",4,"88,1","68,2","0,7","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 59386', 'Marquette-lez-Lille (Nord, France)']",,,,,,,,,,,,,
362,Lasagnes,20262556,,,['France'],[],[],?,155,649 kj(155 kcal),"7,9","2,6","11,9",3,"8,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Yaourt abricot,3760125340333,,,['France'],[],[],?,93.8,392 kj(93 kcal),"2,4","1,54",8,"7,8","4,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,filet tranché de dinde,2276702029320,,,['France'],[],[],?,105,439 kj(105 kcal),"1,4","0,4",0,,23,"0,19","0,076",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,,,,
365,Thé noir Gingembre - La Vie Claire,3266191040066,,['La Vie Claire'],['France'],[],[],?,8,33 kj(8 kcal),0,0,"1,9","1,9",0,0,0,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bouteille en verre'],,,,,,,,,,,
366,Houmous Artichaut,3770013783159,,,['France'],[],[],?,220,920 kj(220 kcal),18,"2,3",10,"1,1","4,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Vinaigre Balsamique & Pommes - Puget,3265470035748,,['Puget'],['France'],"['Eau', 'purée de pomme"" ', '18,5%', ' pomme""', 'anti-oxydant: acide ascorbique', 'huile d\'olive vierge extra"" ', '17,7%', 'huile de colza"" ', '137 vinaigre balsamique"" ', '10,3%', 'vinaigre de vin mout de raisin""', 'jus de pomme"" ', '10,2%', 'vinaigre de cidre SUcre de canne""', 'moutarde de Dijon"" ', 'graines de moutarde""', 'vinaigre d\'alcool""', 'eau', 'sel', 'épaississant gomme xanthane', ' ""Issus de l\'agriculture biologique']",[],?,341,1427 kj(341 kcal),33,"3,5",11,11,"0,51","1,9","0,76",D,"['Epicerie', 'Sauces', 'Vinaigres', 'Sauces salades']",['Bio'],33 g,en quantité élevée,3.5 g,en quantité modérée,11 g,en quantité modérée,1.9 g,en quantité élevée,,+2%,+3%,-1%,+3%,+99%,+193%,-23%,-0%,-0%,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,"['E300 - Acide ascorbique', 'E415 - Gomme xanthane']",4,,,['Moutarde'],,,,,,
368,Latte Macchiato - Senseo,8711000448069,,['Senseo'],['France'],[],[],?,29,121 kj(29 kcal),1,"0,7","3,7","3,6","1,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,4056489014126,4056489014126,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Emmental de Savoie IGP,0208556019358,,,['France'],[],[],?,399,1669 kj(399 kcal),31,21,1,1,29,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Patata con jamón y queso,8410092140478,,,['France'],[],[],?,155,649 kj(155 kcal),"7,9","1,7","15,5","1,1","4,6","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Tartelettes framboises - Leclerc - 200g,0205023015745,200 g,['Leclerc'],['France'],"['Framboises ', '39%', ',chantilly framboise ', 'crème chantilly ', 'crême LAIT', 'dont stabilisant E407', 'sucre', 'eau', 'mix framboises ', '13% Sucre', 'Dextrose', 'Maltodextrine', 'Framboise déshydratée ', '9,8%', 'Gélatine de bœuf', 'Amidon modifié', 'Poudre de betterave', 'Acidifiant : Acide citrique ', 'E330', 'Stabilisant : Alginate de sodium ', 'E401', 'Arôme', 'tartelette ', 'farine de BLÉ - sucre ', '17%', ' - BEURRE pâtissier', '16%', ' - blancs d’ŒUFS - ŒUFS - sirop de sucre inverti - poudres à lever : diphosphates ', 'BLÉ', 'carbonates de sodium ', 'BLÉ', ""carbonates d'ammonium"", 'sel', 'nappage ', 'eau', 'sirop de glucose', 'sucre', 'agents gélifiants : E440', 'E407', 'E415', 'concentrés ', 'citron', 'carthame', 'acidifiant : E330', 'colorant : E120', 'conservateur : E202', ""correcteur d'acidité : E332"", 'arôme', 'émulsifiant : E493', 'agent gélifiant : E509']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1146,274,1146 kj(274 kcal),14,9,32,20,"3,4","0,12","0,048",D,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la framboise']",,14 g,en quantité modérée,9 g,en quantité élevée,20 g,en quantité élevée,0.12 g,en faible quantité,-30%,-23%,-24%,+7%,+31%,-41%,-32%,-13%,-48%,-48%,15,-5%,D,-5%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,"['Barquette', 'Plastique', 'Frais', 'décongelé']","['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E401 - Alginate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E120 - Acide carminique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E332 - Citrates de potassium', 'E493 - Monolaurate de sorbitane', '', 'Risque élevé de sur-exposition', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",4,,['Leclerc'],"['Œufs', 'Gluten', 'Lait']",,,,,,
373,Ethiopie - Lidl - 55g,4056489194156,55 g,"['Lidl', 'Bellarom', 'Sati']",['France'],"[""100% café Arabica d'Éthiopie""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,['Éthiopie'],,,,,
374,Isostar hydrate & Perform,3175681267015,,['Isostar'],['France'],[],[],?,25,105 kj(25 kcal),0,0,88,70,0,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Mama Jokcup - 45g,8851876110186,45 g,['Mama'],['France'],[],[],?,356,1490 kj(356 kcal),"2,6",1,76,"3,8","6,9",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Rillettes du Mans - Monique Ranou,3250392931360,,"['Monique Ranou', 'Intermarché']",['France'],"['Viande de porc 97,5%* ', 'origine: France', 'gras de porc""', 'sel', 'poivre""', ' ""Ingrédients issus de l\'agriculture biologique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,447,1870 kj(447 kcal),"43,3","17,2","0,5","0,5","14,1","1,23","0,492",B,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']","['Bio', 'Bio européen', 'Viande Française', 'Viande Porcine Française', 'Fabriqué en France', 'Nutriscore', 'Nutriscore E', 'AB Agriculture Biologique']",43.3 g,en quantité élevée,17.2 g,en quantité élevée,0.5 g,en faible quantité,1.23 g,en quantité modérée,,+11%,+12%,+16%,+20%,+37%,+79%,-11%,-2%,-2%,20,+3%,E,+3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,3,,,,,,,,,
377,Draineur,3700937901902,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Crevettes,3350033737839,,,['France'],[],[],?,81,339 kj(81 kcal),1,"0,3",0,0,18,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Haricots blancs petits cocos biologiques - Bonjour Campagne - 350g,3700225139017,350 g,['Bonjour Campagne'],['France'],['Haricots cocos blancs'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1276,303,1276 kj(303 kcal),"1,9","0,3",39,"2,4",23,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Haricots cocos blancs']","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agri-Confiance', 'Agri-Éthique France']",1.9 g,en faible quantité,0.3 g,en faible quantité,2.4 g,en faible quantité,0 g,en faible quantité,,+47%,+47%,+6%,-33%,+61%,+14%,+68%,-100%,-100%,-7,,A,,,,,,,,,,,['Sachet-plastique'],,1,['France'],,,,,France,,,
380,Lasagnes,8006807000078,,,['France'],[],[],?,350,1464 kj(350 kcal),"3,5","0,3","72,6","3,5","11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Beanz British Style Beans - Heinz,0057000034627,,['Heinz'],['France'],[],[],?,80,335 kj(80 kcal),0,0,16,4,4,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Coeurs de Palmier -,3263851378965,,,['France'],['Cœurs de palmier - eau - sel - acidifiant : acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,35,146 kj(35 kcal),"0,4","0,2","4,2","1,6","2,5","0,6","0,24",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier']",,0.4 g,en faible quantité,0.2 g,en faible quantité,1.6 g,en faible quantité,0.6 g,en quantité modérée,,+21%,+21%,+9%,+190%,+39%,+118%,+9%,-21%,-21%,1,+7%,B,+7%,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,,,,['E330 - Acide citrique'],3,,,,,,,,,
383,Ben & Jerry's Glace en Pot Moo-phoria™ Caramel Cookie Fix 465ml - 293g,8711327373365,293 g,"[""Ben & Jerry's""]","['France', 'Royaume-Uni']","['LAIT écrémé réhydraté', 'sucre', 'LAIT concentré écrémé', 'fibres soluble de maïs', 'CRÈME', 'fructose', 'sirop de glucose', ""jaune d'ŒUF⁵"", 'BEURRE', 'farine de BLÉ', 'eau', 'amidon de BLÉ', 'sel', 'beurre de cacao', 'extrait de vanille', 'stabilisants ', 'pectines', 'gomme guar', 'farine de graines de caroube', ""jaune d'ŒUF⁵ en poudre"", ' Peut contenir : soja', 'fruits à coque', ' ⁵œufs de poules élevées en plein air', ' > Sucre', 'cacao', 'vanille : issus du commerce équitable Fairtrade dans le respect du bilan de masse ', '27% du poids total hors eau et produits laitiers ajoutés', 'F']",['Non végétalien'],822,196,822 kj(196 kcal),"6,8","4,4",27,20,"3,5","0,45","0,18",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Glace en pot']",['Point Vert'],6.8 g,en quantité modérée,4.4 g,en quantité modérée,20 g,en quantité élevée,0.45 g,en quantité modérée,-16%,-17%,-17%,-48%,-46%,+7%,-10%,-5%,+111%,+111%,11,-25%,D,-25%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,Glace vanille avec une sauce caramel salé (10%) et des morceaux de biscuit shortbread (7%).,"['Pot', 'wrapper', 'Film']","['E440 - Pectines', 'E412 - Gomme de guar', 'E410 - Gomme de caroube']",4,,"[""Sainsbury's""]","['Œufs', 'Gluten', 'Lait']",,,,,,
384,Pâte à Sucre - Rouge - 250G - Funcakes - 250g,8718274810387,250 g,,['France'],[],[],?,403,1686 kj(403 kcal),"6,7","4,6","85,2","82,8",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Seitan - KoRo,4260654782424,,['KoRo'],['France'],[],[],?,101,423 kj(101 kcal),"0,5","0,1","6,5","0,1",17,"0,5","0,2",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",,0.5 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en quantité modérée,,-39%,-39%,-90%,-85%,-18%,-91%,-14%,-55%,-55%,-2,-254%,A,-254%,,,,,,,,,,,,,,,,,,,,,
386,Fusées 3 fruits - Casino,3222477557635,,['Casino'],['France'],[],[],?,80,335 kj(80 kcal),0,0,20,19,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,
387,SOUR IPA CITRON/ANETH - Brasserie Iron - 44cl,3770012745455,44 cl,['Brasserie Iron'],['France'],"['Eau', ""malt d'orge"", ""flocon d'avoine"", 'citron,k aneth', 'houblons ', 'citra/simcoe', 'levure']",[],?,?,,?,0,?,0,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'en:India Pale Ale']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,['Canette'],,3,['France'],,"['Gluten', 'Avoine']",,,,,,
