,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
1806,Sorbet pomme verte,3563350001266,,,,['France'],[],,,[],,,,,,,,,,?,,127,,531 kj(127 kcal),,"0,07",,"0,02",,32,,30,,"0,14",,0,,0,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
1807,Nougat mou,2304016002200,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,Puree pommes fraises - Carrefour,3560070963430,B,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes fraise']",['France'],[],,,[],,0.5 g,en faible quantité,0.2 g,en faible quantité,9.4 g,en quantité modérée,0 g,en faible quantité,?,,52,-15%,218 kj(52 kcal),-16%,"0,5",+47%,"0,2",+121%,10,-26%,"9,4",-24%,0,-100%,0,-100%,0,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10', 'Fabriqué en France', 'Sans sucre ajouté']",,,['Carrefour'],,,,,,,,,
1809,Baguette traditionnelle - u,,A,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",['France'],"['BAGUETTE TRADITION 3+ 1 OFFER ngredients farine de BLEeau', 'sel', 'ievure', 'GLUTEN de BLE,farine de BLE m alte', 'antiagglomerant E535 Peut contenir lait']",,['Gluten'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,['U'],['Vrac'],,,,,,,,
1810,Saucisses cuites à poêler aux herbes,3217034077008,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses aux herbes']",['France'],[],,,[],,22 g,en quantité élevée,8.6 g,en quantité élevée,0.8 g,en faible quantité,1.8 g,en quantité élevée,?,,258,+12%,1079 kj(258 kcal),+13%,22,+29%,"8,6",+37%,"0,9",-41%,"0,8",+35%,14,-13%,"1,8",+2%,"0,72",+2%,18,+28%,D,+28%,,,,,,,,,,,,,,,,,,,,
1811,Super smoothie power,00312905,,,,['France'],[],,,[],,,,,,,,,,?,,62,,259 kj(62 kcal),,"1,1",,"0,9",,"10,5",,"10,1",,"2,2",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1812,Thai Pad ka prow,8850554642162,,,,['France'],[],,,[],,,,,,,,,,?,,282,,1180 kj(282 kcal),,"3,5",,"0,5",,57,,"8,9",,5,,"2,6",,"1,04",,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
1813,Gingembre bio,8437016554395,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
1814,Quinoa,8719325060386,,,,['France'],[],,,[],,,,,,,,,,?,,344,,1439 kj(344 kcal),,"6,2",,"0,8",,"57,1",,"6,1",,"12,4",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
1815,La généreuse baguette,3250392730918,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,9782910000011,9782910000011,,,['Non alimentaire'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Wok oil -,8710518730215,,,,['France'],"['Sunfioweroil', 'rape oil', 'sesame oil', 'favourings', 'coriander', 'colour: paprika-extract']",['E160c - Extrait de paprika'],,[],4,,,,,,,,,?,,803,,3360 kj(803 kcal),,91,,"8,8",,1,,"0,1",,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
1818,Rosé bandol,3285650712320,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Dinde noire fines escalopes - La Nouvelle Agriculture,0213565022244,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],,,[],,1.2 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,?,,112,-7%,469 kj(112 kcal),-7%,"1,2",-9%,"0,3",-26%,0,-100%,0,-100%,25,+9%,"0,18",-68%,"0,072",-68%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
1820,Crème fraîche épaisse,3560070344253,,,,['France'],[],,,[],,,,,,,,,,?,,291,,1218 kj(291 kcal),,30,,20,,"3,1",,3,,"2,2",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
1821,L'authentique Guignette De La Rochelle,3760089040034,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Sauce au cheddar,3370170000757,,,,['France'],[],,,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,"8,65",,"6,43",,"11,7",,"5,4",,"3,7",,"2,42",,"0,968",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
1823,Castell Blanc - Castellblanc,8410035002009,,['Castellblanc'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Baies de goji séchées,2600328033988,,,,['France'],[],,,[],,,,,,,,,,?,,317,,1326 kj(317 kcal),,"2,7",,"0,3",,"53,9",,"53,1",,13,,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,
1825,Houmous extra,7290002399193,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],[],,,[],,28.7 g,en quantité élevée,2.9 g,en quantité modérée,0.1 g,en faible quantité,1.3 g,en quantité modérée,?,,333,+27%,1393 kj(333 kcal),+27%,"28,7",+42%,"2,9",+18%,"13,4",+26%,"0,1",-93%,"6,6",+2%,"1,3",+25%,"0,52",+25%,11,+120%,D,+120%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,,
1826,3700557600612,3700557600612,,,,['France'],"['maigre et gras de porc ', 'tête', 'goulat', 'couenne', 'oignons', 'sang frais', 'poireaux', 'sel', 'épices', ""Piment d'Espelette""]",,,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,261,,1092 kj(261 kcal),,"25,4",,"9,3",,"1,7",,"1,7",,"10,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
1827,Cozonac pricomigdala,5941300007892,,,,['France'],[],,,[],,,,,,,,,,?,,404,,1690 kj(404 kcal),,"18,4",,8,,"52,5",,"30,2",,7,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
1828,"Pavé de saumon, riz basmati sauté et sauce citron confit et gingembre - Kitchen Diet - 300g",3700569001797,,['Kitchen Diet'],"['Plats préparés', 'Plats préparés au poisson', 'Plats à base de riz', 'Plats au saumon']",['France'],"['SAUMON ', 'POISSON', ' 30%', 'eau', 'julienne de légumes 17% ', 'carotte', 'poireau', 'CELERI', 'riz basmati cuit 10% ', 'eau', 'riz basmati', 'CREME ', 'LAIT', ' fraîche', 'échalotes 6%', 'citron confit au gingembre 2,5% ', 'citron confit au sel 44%', 'huile de tournesol', 'gingembre 21%', ""vinaigre d'alcool"", 'épices', 'amidon de maïs', 'sel', 'aneth0,2%', 'poivre', 'Ce produit élaboré à base de poisson', 'pourraitexceptionnellement contenir des arêtes']",,"['Céleri', 'Poisson', 'Lait']","['Non végétalien', 'Non végétarien']",3,7.4 g,en quantité modérée,2.9 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en quantité modérée,490,-14%,118,-21%,490 kj(118 kcal),-20%,"7,4",+4%,"2,9",+21%,"4,9",-60%,"1,1",-39%,"7,7",+10%,"0,5",-31%,"0,2",-31%,1,-55%,B,-55%,,,,,,,,,,300 g,,,,,,,,,,
1829,Gigondas A.O.C. 2017 - Marque Repère - 75cl,3564700791806,,"['Marque Repère', 'Rives et Terrasses']","['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],['Contient des sulfites'],,['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,75 cl,['Leclerc'],,,,,,,,,
1830,Pommes granny,3354860350186,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,Magret de canard -,2205796005255,D,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['France'],"['100% magret de canard ', 'origine France', ': Produit frais-Classe A']",,,"['Non végétalien', 'Non végétarien']",3,33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,?,,366,+8%,1531 kj(366 kcal),+8%,33,+13%,11,+10%,"0,6",-52%,"0,6",-10%,16,-11%,"0,1",-94%,"0,04",-94%,14,-24%,D,-24%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,
1832,Poulet Loué - 1.639999985694885kg,0217013082859,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,1.639999985694885 kg,,,,,,,,,,
1833,Miel d'acacia - Les Ruchers de Normandie,3770002062159,B,['Les Ruchers de Normandie'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1834,Bol salade volaille,0201676019352,,,,['France'],[],,,[],,,,,,,,,,?,,77,,322 kj(77 kcal),,"1,9",,"0,6",,"4,8",,"1,6",,"9,4",,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,,
1835,Curcuma &l'Energie - Lebensbaum,4012346502601,,['Lebensbaum'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Sans arômes ajoutés']",,,,,,,,,,,,
1836,Infusion Jardin Andalou - Palais des Thés,3700256722325,,['Palais des Thés'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Bastoncini di Surimi - Fleury Michon,3302740466021,,['Fleury Michon'],,['France'],[],,,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,"4,4",,"0,5",,13,,"2,9",,7,,"1,8",,"0,72",,,,,,,,,,,,,"['Sans arômes ajoutés', 'Sans conservateurs', 'Pêche durable', 'Pêche durable MSC']",['MSC-C-51334'],,,,,,,,,,,
1838,Emmental rapé,8718836787058,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",['France'],[],,,[],,26.6 g,en quantité élevée,18 g,en quantité élevée,0.3 g,en faible quantité,1 g,en quantité modérée,?,,354,-5%,1481 kj(354 kcal),-5%,"26,6",-8%,18,-9%,"2,5",+176%,"0,3",-26%,"26,1",-4%,1,+32%,"0,4",+32%,13,+9%,D,+9%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1839,Soupe Poireaux Pommes de Terre - Les Delices Du Maraicher,3760156640396,,['Les Delices Du Maraicher'],"['Plats préparés', 'Soupes']",['France'],[],,,[],,0.08 g,en faible quantité,0.01 g,en faible quantité,0.38 g,en faible quantité,0.59 g,en quantité modérée,?,,23,-60%,96 kj(23 kcal),-59%,"0,08",-96%,"0,01",-98%,"4,57",-21%,"0,38",-78%,"0,62",-72%,"0,59",-32%,"0,236",-32%,2,+22%,B,+22%,,,,,,,,['Bio'],,,,,,,,,,,,
1840,Marguerite panaché,3760029420476,,,,['France'],[],,,[],,,,,,,,,,?,,234,,979 kj(234 kcal),,"1,5",,"0,2",,50,,3,,"7,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
1841,Croustillant sésame - Barilla,7300400122078,,['Barilla'],,['France'],[],,,[],,,,,,,,,,?,,356,,1490 kj(356 kcal),,"5,5",,1,,55,,2,,11,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,Multigran galletas,8002590045647,,,,['France'],[],,,[],,,,,,,,,,?,,420,,1757 kj(420 kcal),,15,,"1,5",,63,,15,,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Caramel salé,3608580858829,,,,['France'],[],,,[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,5,,0,,75,,0,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1845,tisane Défenses Hivernales Bio - tisane bio roman nature (araquelle) - 32g,3554742853112,B,['tisane bio roman nature (araquelle)'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']",['France'],[],,,[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,32g,,['20sachets'],,,,,,,,
1846,Be Kind Madagascan vanilla almond,5054678300097,,['Kind'],,['France'],[],,,[],,,,,,,,,,?,,507,,2121 kj(507 kcal),,39,,"4,3",,36,,10,,16,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
1847,Assortiment de Biscuits,8714065110957,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Assortiments de biscuits']",['France'],[],,,[],,28.3 g,en quantité élevée,13.9 g,en quantité élevée,27.9 g,en quantité élevée,0.6 g,en quantité modérée,?,,526,+7%,2201 kj(526 kcal),+7%,"28,3",+23%,"13,9",+8%,64,+1%,"27,9",-9%,"5,4",-13%,"0,6",+5%,"0,24",+5%,24,+4%,E,+4%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,
1848,Speckknödelsuppe - 400g,29081509,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,
1849,Escalope de dinde - Auchan,2600141010173,D,['Auchan'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],,,[],,0.8 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,109,-10%,456 kj(109 kcal),-10%,"0,8",-39%,"0,4",-1%,"0,5",-83%,"0,5",-35%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,['Auchan'],,,,,,,,,
1850,Caramel beurre salé,3760262990217,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",['France'],[],,,[],,15 g,en quantité modérée,10 g,en quantité élevée,58 g,en quantité élevée,1.25 g,en quantité modérée,?,,395,-4%,1653 kj(395 kcal),-4%,15,+9%,10,+12%,64,-6%,58,+15%,2,-15%,"1,25",+29%,"0,5",+29%,28,+13%,E,+13%,,,,,,,,,,,,,,,,,,,,
1851,Suisse longue aux pépites de chocolat,2644795012732,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Nouilles chinoises sautees,3770003062554,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles chinoises']",['France'],[],,,[],,2.2 g,en faible quantité,0.307 g,en faible quantité,1.8 g,en faible quantité,0.18 g,en faible quantité,?,,353,+41%,1477 kj(353 kcal),+38%,"2,2",-57%,"0,307",-85%,"67,7",+63%,"1,8",-14%,"11,8",+66%,"0,18",-85%,"0,072",-85%,-1,-137%,A,-137%,,,,,,,,,,,,,,,,,,,,
1854,Pomme ananas,3102870045659,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,Saucisse Francfort - Auchan,3596710384891,E,['Auchan'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes', 'Saucisses de Francfort']",['France'],[],,,[],,28 g,en quantité élevée,8.6 g,en quantité élevée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,305,+19%,1276 kj(305 kcal),+18%,28,+30%,"8,6",+7%,"1,2",+6%,"0,9",+24%,13,-8%,"1,8",-9%,"0,72",-9%,18,-3%,D,-3%,84.3%,9.6%,1.8%,1.2%,0.7%,2.5%,23,,,,['Auchan'],,,,,,,,,
1856,Confit d'oignon - Saveurs du Vercors - 210g,3760163630397,,['Saveurs du Vercors'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",['France'],[],,,[],,0.2 g,en faible quantité,0 g,en faible quantité,46.7 g,en quantité élevée,0.011 g,en faible quantité,?,,205,+22%,858 kj(205 kcal),+22%,"0,2",-88%,0,-100%,"50,5",+44%,"46,7",+44%,"0,8",-20%,"0,011",-98%,"0,004",-98%,11,+67%,D,+67%,,,,,,,,['Bio'],,210 g,,,,,,,,,,
1857,Huile d'olive bio -,3330149300936,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive aromatisées""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1858,Uncle Ben's,17894678,,"[""Uncle Ben's""]",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,"Pâté Crème 16%, Weight Watch - Weight Watchers",5411328103826,,['Weight Watchers'],,['France'],[],,,[],,,,,,,,,,?,,205,,858 kj(205 kcal),,"15,6",,"5,9",,"4,5",,3,,"11,6",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,
1860,Bordeaux supérieur 2017 château le breton cuvée Premium,3419466238808,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,['France'],,,,,
