,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
1509,La Vie Claire,3266191060040,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Agriculture UE/Non UE', 'Fabriqué en France']",['La Vie Claire'],,,,,['La Vie Claire'],,,,,,,,
1510,Pasta de cacahuet,8414397500081,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Pate Basque,3760061370210,,,['France'],[],[],,,,,,,,,?,,211,,883 kj(211 kcal),,15,,"5,8",,"1,9",,0,,17,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,19034096,19034096,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Escalope milanaise - Le Gaulois,0217217014762,D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise', 'Escalopes', 'Escalopes pânées']",['France'],[],[],0.8 g,en faible quantité,0.01 g,en faible quantité,1.9 g,en faible quantité,0.7 g,en quantité modérée,?,,121,-9%,506 kj(121 kcal),-9%,"0,8",-57%,"0,01",-98%,"5,8",-21%,"1,9",+12%,22,+5%,"0,7",-25%,"0,28",-25%,-1,-261%,A,-261%,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,['Le Gaulois'],,"['FR 17.105.6001 CE', 'Chives (Charente-Maritime, France)']",,,,,,,,,,,
1514,3000028035326,3000028035326,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Pâté Apero Chorizo,3503361463219,,,['France'],[],[],,,,,,,,,?,,309,,1293 kj(309 kcal),,28,,11,,"4,1",,"0,7",,11,,"1,8",,"0,72",,,,,,,,,,,,,['Fabriqué en France'],,,"['EMB 22225', ""Ploumagoar (Côtes-d'Armor, France)""]",,,,,,,,,,,
1516,Cannoli Siciliani Gianduia,3760014492013,,,['France'],[],[],,,,,,,,,?,,548,,2293 kj(548 kcal),,34,,"9,9",,55,,37,,"5,3",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,PIZZA LA KAZ - 2,3345100004976,,,['France'],['a faire bp'],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,"12,8",,"6,4",,"24,3",,"0,7",,"12,2",,"1,5",,"0,6",,,,,,,,,,,,,,,2,,,,,,,,,,,,
1518,Pain d'Épices Pur Cacao - Baramel,3594480001529,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",['France'],"['Farine de blé*', 'miel*', 'sucre de canne non raffiné*', 'poudre de cacao ', '7 %', 'beurre*', 'crème fraîche*', 'poudre à lever : bicarbonate de soude', 'sel de Guérande', 'épice*']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",11 g,en quantité modérée,7.4 g,en quantité élevée,27 g,en quantité élevée,0.57 g,en quantité modérée,?,,310,-8%,1297 kj(310 kcal),-9%,11,+215%,"7,4",+497%,48,-32%,27,-33%,"5,1",+18%,"0,57",+31%,"0,228",+31%,17,+21%,D,+21%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",['Baramel'],,,,"['Sachet', 'Plastique']",,['E500ii - Carbonate acide de sodium'],"['Gluten', 'Lait']",3,Pain d'Épices Pur Cacao,,,,
1519,"Glassa all' ""aceto balsamico di Modena IGP""",8052742980005,,,['France'],[],[],,,,,,,,,?,,189,,791 kj(189 kcal),,0,,0,,"44,1",,43,,"0,2",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Jambon cuit supérieur -  - 0.221kg,0211405023482,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'en:raw-cured-ham']",['France'],[],[],2.9 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en faible quantité,1.42 g,en quantité modérée,?,,115,-52%,481 kj(115 kcal),-52%,"2,9",-79%,"1,1",-79%,"0,5",-23%,"0,5",+15%,"21,8",-24%,"1,42",-71%,"0,568",-71%,3,-82%,C,-82%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,0.221 kg,,,,,,,,,,,,
1521,Les Tranches de Filet,2262436026834,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Creme balsamique -,3760149991054,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre', 'Crèmes de vinaigre balsamique']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,?,,240,+18%,1004 kj(240 kcal),+18%,0,-100%,0,-100%,62,+26%,57,+44%,0,-100%,0,-100%,0,-100%,12,+15%,D,+15%,,,,,,,,"['Bio', 'Bio européen', 'GR-BIO-01']",,,,,,,,,,,,,,
1523,Endives au jambon,2921523004420,C,"['Plats préparés', 'Endives au jambon']",['France'],[],[],6 g,en quantité modérée,3 g,en quantité modérée,2.5 g,en faible quantité,0.9 g,en quantité modérée,?,,428,+308%,1791 kj(428 kcal),+309%,6,+1%,3,-5%,"5,1",-9%,"2,5",-2%,"6,8",+11%,"0,9",+19%,"0,36",+19%,6,+119%,C,+119%,71.8%,15.1%,6.0%,3.7%,2.0%,1.4%,57,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,,
1524,Stylos gel parfumés - Towi - 5,3700366600353,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Towi'],5,,,,,,,,,,,,
1525,Asperges -,4335896743424,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",['France'],[],[],0.6 g,en faible quantité,0 g,en faible quantité,1.1 g,en faible quantité,0.71 g,en quantité modérée,?,,113,+495%,473 kj(113 kcal),+514%,"0,6",+141%,0,-100%,"2,5",+28%,"1,1",-6%,"2,1",+43%,"0,71",-10%,"0,284",-10%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,,,,,
1526,Pain d' épice à l'ancienne - Vignaud - 500g,3410910000088,B,"['Biscuits et gâteaux', ""Pains d'épices""]",['France'],"['Miel 60%', 'farine', 'lait', 'épices', 'poudre a lever bicarbonate de sodium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,['Vignaud'],500 g,,,,,['E500ii - Carbonate acide de sodium'],['Lait'],3,,,,,
1527,Pate a crepe - Moulins Waast,3286450002857,,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,"10,4",,"6,5",,"60,7",,"4,9",,9,,"1,3",,"0,52",,,,,,,,,,,,,,['Moulins Waast'],,,,"['Sachet', 'Papier']",,,,,,,,,
1528,Cold infusion - Tetley,5000208040902,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"0,6",,"0,2",,"0,1",,0,,0,,,,,,,,,,,,,,['Tetley'],,,,,,,,,,,,,
1529,64G Tic Tac Duo Pomme T4 T(33X4,8000500172872,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Tic Tac', 'Ferrero']",,,,,,,,,,,,,
1530,2209255006692,2209255006692,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,"pavé de saumon biologique - Tradition salaison - 0,282kg",2137251002823,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['France'],"['Saumon ', '97', '5%', '** ', 'POISSON', ' ', 'Salmo salar', '""', 'sel de guérande lGP', 'fumé au bois de hêtre', "" \r**PRODUIT ISSU DE L'AGRICULTURE BIOLOGIQUE""]","['Non végétalien', 'Non végétarien']",9.1 g,en quantité modérée,2.5 g,en quantité modérée,,,2.5 g,en quantité élevée,?,,169,-11%,707 kj(169 kcal),-11%,"9,1",-23%,"2,5",+23%,0,-100%,,,22,+9%,"2,5",+591%,1,+591%,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,"['Bio', 'Bio européen', 'Fumé au bois de hêtre']",['Tradition salaison'],"0,282 kg","['FR 49.035.001 CE', 'Bouchemaine (Maine-et-Loire, France)']",['Ecosse'],,['bio nature et santé'],,['Poisson'],1,,,['France'],,
1532,Jambon cru 9 mois affinage,3760269070011,,,['France'],[],[],,,,,,,,,?,,193,,808 kj(193 kcal),,"7,4",,"2,4",,"0,7",,"0,7",,31,,"6,6",,"2,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Caramel au beurre salé,3663350003595,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",['France'],[],[],8.5 g,en quantité modérée,6 g,en quantité élevée,64 g,en quantité élevée,1.1 g,en quantité modérée,?,,398,-3%,1665 kj(398 kcal),-3%,"8,5",-38%,6,-33%,78,+15%,64,+27%,"2,5",+6%,"1,1",+14%,"0,44",+14%,23,-7%,E,-7%,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,
1534,1 cuisse de canard - Nature de France,2448435044080,D,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",['France'],[],[],8.2 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,156,-34%,653 kj(156 kcal),-35%,"8,2",-50%,"2,3",-57%,0,-100%,0,-100%,21,-2%,"1,4",+1%,"0,56",+1%,4,-62%,C,-62%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Nature de France'],,,,,,,,,,,,,
1535,Sauce saveur d'huitre,8854009005076,,"['Epicerie', 'Sauces', ""Sauces à l'huitre""]",['France'],[],[],1 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,3 g,en quantité élevée,?,,450,+374%,1883 kj(450 kcal),+372%,1,+777%,0,-100%,20,-2%,5,-67%,15,+702%,3,-66%,"1,2",-66%,16,+21%,D,+21%,,,,,,,,,,,,,,,,,,,,,,
1536,Mangosteen Toffee,8854651003031,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Pâté En Croûte D'alsace,3272120058071,,,['France'],[],[],,,,,,,,,?,,196,,820 kj(196 kcal),,"9,55",,"5,1",,"1,4",,"1,4",,"13,2",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Turkish Delight,8697217002129,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,7 g,en quantité élevée,?,,347,-2%,1452 kj(347 kcal),-2%,0,-100%,0,-100%,84,+3%,78,+24%,0,-100%,7,+3418%,"2,8",+3418%,24,+79%,E,+79%,,,,,,,,,,,,,,,,,,,,,,
1539,Pate de campagne LES GORRONNAISES,3351090000423,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['France'],[],[],23 g,en quantité élevée,9 g,en quantité élevée,1.9 g,en faible quantité,1.9 g,en quantité élevée,?,,281,-10%,1176 kj(281 kcal),-10%,23,-15%,9,-11%,"2,7",+12%,"1,9",+106%,16,+13%,"1,9",+14%,"0,76",+14%,19,0%,E,0%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
1540,Tartinolait,3760275580191,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Pilons de Poulet - La Nouvelle Agriculture,0213328017050,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",['France'],[],[],6.9 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0.25 g,en faible quantité,563,-29%,?,,563 kj(135 kcal),-25%,"6,9",-26%,"1,8",-31%,0,-100%,0,-100%,18,-7%,"0,25",-72%,"0,1",-72%,-2,-159%,A,-159%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['La Nouvelle Agriculture'],,,,,,,,,,,,,
1542,vitqd'or - 500g,08359780,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"[""vitqd'or""]",500g,,,,,,,,,,,,
1543,Mitonnée de tomates a l'ail et piment d'espelette,3760112142865,,,['France'],[],[],,,,,,,,,?,,58,,243 kj(58 kcal),,3,,"0,5",,"6,9",,"4,2",,"1,9",,"1,15",,"0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Mochi de fresa - Taïwan Dessert,4711931030511,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Mochi']",['France'],"['Maltose ', '35 %', 'sucre', 'riz gluant ', '20 %', 'stabilisateur: ', 'E1442', 'chocolat ', '4,9 %', ' [sucre', 'huile de palmiste', 'huile de palme', 'lait en poudre', 'lactosérum en poudre', 'beurre de cacao', 'poudre de vanille', 'lécithine de soja', 'stabilisateur : ', 'E471', 'arôme]', 'poudre de fraise ', '1 %', 'colorant alimentaire: ', 'E162', 'conservateur: ', 'E200', ',']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",10.9 g,en quantité modérée,3.5 g,en quantité modérée,37.1 g,en quantité élevée,5.1 g,en quantité élevée,?,,378,+25%,1582 kj(378 kcal),+23%,"10,9",+171%,"3,5",+148%,65,-1%,"37,1",+24%,"5,5",+117%,"5,1",+2733%,"2,04",+2733%,25,+145%,E,+145%,,,,,,,,,['Taïwan Dessert'],,,,"['Carton', 'Plastique']",,"['E1442 - Phosphate de diamidon hydroxypropyle', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E162 - Rouge de betterave', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Lait', 'Soja']",4,Mochi au cacao saveur fraise - Cacao Mochi Strawberry,,,,['Huile de palme']
1545,Terrine des alpes - La région du goût - 2,3356991881805,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",['La région du goût'],2,,,,,,,,,,,,
1546,Roti de Porc aux herbes,0211429009059,,['Viandes'],['France'],[],[],4.3 g,en quantité modérée,1.7 g,en quantité modérée,0.6 g,en faible quantité,2.46 g,en quantité élevée,?,,132,-41%,552 kj(132 kcal),-41%,"4,3",-71%,"1,7",-68%,"0,6",-63%,"0,6",-15%,"22,8",+19%,"2,46",+35%,"0,984",+35%,12,+5%,D,+5%,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,"['FR 35.297.003 CE', 'Saint-Méen-le-Grand (Ille-et-Vilaine, France)']",,,,,,,,,,,
1547,Fort lucotte,2264883047936,,,['France'],[],[],,,,,,,,,?,,427,,1787 kj(427 kcal),,35,,23,,1,,0,,27,,"0,76",,"0,304",,,,,,,,,,,,,,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,,,,,,,
1548,Jambon d'auvergne,0211466018434,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons français', ""Jambon d'Auvergne""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 65.100.003 CE', ""Bordères-sur-l'Échez (Hautes-Pyrénées, France)""]",,,,,,,,,,,
1549,Axoa de veau aux pommes de terre - 720g,3489350001252,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats au veau', 'Axoa de veau']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,6.0%,2.8%,2.0%,1.2%,4.6%,40,,,720 g,,,,,,,,,,,,
1550,Donuts Parfum Chocolat -,0208109010504,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],37 g,en quantité élevée,20 g,en quantité élevée,13 g,en quantité élevée,1.1 g,en quantité modérée,?,,537,+31%,2247 kj(537 kcal),+31%,37,+62%,20,+89%,43,-4%,13,-23%,"7,1",+20%,"1,1",+16%,"0,44",+16%,22,+13%,E,+13%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,
1551,Eguia,2488646028141,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,36,,"22,8",,"0,1",,"0,1",,"22,6",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Sauce tomate ail et oignon pour pâtes - Great Value,0628915408492,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,4",,"0,16",,"8,8",,"4,8",,"2,4",,"0,3",,"0,12",,,,,,,,,,,,,,['Great Value'],,,,,,,,,,,,,
1553,Pruneaux d'Agen - Kéo,3760250010026,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['France'],"[""Pruneaux d'Agen"", 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0.1 g,en faible quantité,37.9 g,en quantité élevée,0.01 g,en faible quantité,?,,253,+5%,1059 kj(253 kcal),+5%,"0,2",-44%,"0,1",-12%,"52,3",-2%,"37,9",+4%,"2,4",+28%,"0,01",-28%,"0,004",-28%,5,+128%,C,+128%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,['Sans conservateurs'],['Kéo'],,,,,,,,1,,,,,
1554,Manchego,2926797004640,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis', 'Fromages espagnols', 'Manchego']",['France'],[],[],34.5 g,en quantité élevée,1.5 g,en quantité modérée,1.5 g,en faible quantité,1.62 g,en quantité élevée,?,,417,-4%,1745 kj(417 kcal),-5%,"34,5",-7%,"1,5",-94%,"1,5",+9%,"1,5",+92%,25,+2%,"1,62",-16%,"0,648",-16%,8,-54%,C,-54%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,,,
1555,Sauvisson sec demontagne cendre - U Saveurs,2453599029453,,,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,26,,"9,3",,"0,7",,"0,6",,36,,5,,2,,,,,,,,,,,,,,['U Saveurs'],,,,,,,,,,,,,
1556,Tomme pure brebis,2488009026043,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,34,,25,,"1,5",,"0,5",,22,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Biscuits noix de coco,2364669357522,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Torsades betterave pavot,2505006000019,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Poitrine braisee tranchée,3327750000409,,,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,"21,3",,"7,7",,"1,1",,1,,"17,9",,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Detox bresilienne - Palais des Thés - 100g,2700460001002,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Palais des Thés'],100 g,,,,,,,,,,,,
1561,Saucisse bio,3321250095873,,,['France'],[],[],,,,,,,,,?,,242,,1013 kj(242 kcal),,20,,8,,"0,5",,0,,15,,"1,5",,"0,6",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-09']",,,,,,,,,,,,,,
1562,Sandwich Club Maxi Jambon crudités emmental - Belle France - 200g,3258974471129,D,"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs Jambon Fromage', 'en:raw-vegetable-sandwiches', 'Club']",['France'],"['pain de mie complet ', '50%', ' ', 'farine complète de blé', 'eau', 'huile de colza', 'gluten de blé', 'sucre', 'sel', 'dextrose', 'levure', 'farine de blé', 'émulsifiant : E471', 'agent de traitement de la farine : E300', 'jambon cuit standard ', '20%', ' [jambon de porc 12,1% ', 'origine : UE', 'eau', 'acidifiant : E325', 'dextrose', 'protéines de sang', 'sel', 'arômes', 'stabilisants : E450 et E451', 'antioxydant : E301', 'conservateur : E250]', 'mayonnaise allégée en matières grasses ', 'eau', 'huile de colza', ""vinaigre d'alcool"", ""jaune d'œuf"", 'amidon transformé', 'sucre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'sel', 'lait écrémé reconstitué', 'acidifiant : E330', 'épaississant : E415]', 'tomates décongelées ', '7,5%', 'emmental ', '7,5%', 'salade ', '5%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",8.8 g,en quantité modérée,2.1 g,en quantité modérée,3.5 g,en faible quantité,1.46 g,en quantité modérée,916,,?,,916 kj(219 kcal),-8%,"8,8",-15%,"2,1",-26%,"23,8",-4%,"3,5",+13%,"9,5",-7%,"1,46",+21%,"0,584",+21%,5,-11%,C,-11%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,,['Belle France'],200 g,,,"['Barquette', 'Plastique']",,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E325 - Lactate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Lait', 'Moutarde']",4,"Sandwich au pain de mie complet garni de jambon cuit standard, de tomates, d'emmental et de salade",,,,
1563,Saumon fumé ecosse chutes et parures,0207467010362,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'en:smoked-salmons-from-scotland']",['France'],[],[],1.3 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.48 g,en quantité modérée,?,,83,-54%,347 kj(83 kcal),-54%,"1,3",-87%,"0,2",-90%,"0,8",+47%,0,-100%,7,-68%,"0,48",-83%,"0,192",-83%,-1,-108%,A,-108%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,
1564,Emincé de dinde mariné à griller,2686969024202,,['Emince de dinde'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,croques saumon - Briau,3571492540000,,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,"8,7",,2,,"12,8",,"3,7",,"10,1",,1,,"0,4",,,,,,,,,,,,,,['Briau'],,,,,,,,,,,,,
1566,FILETS DE POULETS JAUNE FERMIER,0287458046709,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)', 'EMB 03236', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,,,,,,
1567,Anis candela seco - Mon forte del cid - 1litre,8411199100020,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Mon forte del cid'],1litre,,,,,,,,,,,,
1568,filets de maquereaux - 169g,58919682,D,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['France'],"['Filets de maquereaux 56%', 'eau', 'motarde de Dijon 6,9% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'huile de colza', ""vinaigre d'alcool"", ""moutarde à l'ancienne 3,1% "", 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'vinaigre de vin blanc', 'sel', 'vin blanc', 'amifon modifié de Maïs', 'arômes', 'sucre', 'épaississant : gomme xanthane', 'curcuma']","['Non végétalien', 'Non végétarien']",18 g,en quantité modérée,3.8 g,en quantité modérée,0 g,en faible quantité,1.48 g,en quantité modérée,?,,215,-3%,900 kj(215 kcal),-2%,18,+10%,"3,8",+3%,0,-100%,0,-100%,14,-15%,"1,48",+33%,"0,592",+33%,11,+77%,D,+77%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,169g,,['Atlantique nord est'],['boîte'],['Grand Frais'],['E415 - Gomme xanthane'],['Moutarde'],4,,,['69801 Saint Priest'],,
1569,Côte de porc échine,3700190305424,E,"['Viandes', 'Porc', 'Côtes de porc']",['France'],[],[],15 g,en quantité modérée,7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,213,+10%,891 kj(213 kcal),+11%,15,+28%,7,+47%,0,-100%,0,-100%,19,-2%,0,-100%,0,-100%,3,-56%,C,-56%,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,,,,,,,,,,,,,,,
1570,Saucisson à cuire superieur,0206557061208,,,['France'],[],[],,,,,,,,,?,,251,,1050 kj(251 kcal),,"19,8",,"7,8",,"0,9",,"0,7",,"17,1",,"1,9",,"0,76",,,,,,,,,,,,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,,
