,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
248,POM'POTES BRASSES Fraise - Materne - 4x 85g (340g),3021760404157,"['Carrton', 'Gourde', 'Plastique', 'Etui en carton']","['Materne', ""Pom'Potes brassés"", ""Pom'Potes""]",['France'],"['LAIT ', 'origine : France', ' fermenté 85,2 % ', ' fraise 6,6 % ', ' sucre 5,9 % ', ' fécule de manioc ', ' épaississant : pectine ', ' arômes naturels ', ' vitamine D', ' Sans gluten', 'Contient du LAIT']",['Non végétalien'],401,95,401 kj(95 kcal),"2,8","1,7",13,12,4,"0,17","0,068",B,4 x 85 g (340 g),"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise']","['Aquaculture responsable', 'Sans arômes artificiels', 'Sans gluten', 'Aquaculture responsable ASC', 'Source de calcium', 'Fabriqué en France', 'Nouvelle recette', 'Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Pêche durable', 'Pêche durable MSC', 'Source de vitamine D', 'en:Lait-francais-french-milk', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT', 'Se conserve à température ambiante', 'Terracycle']","['Casino', 'Magasins U']",2.8 g,en faible quantité,1.7 g,en quantité modérée,12 g,en quantité modérée,0.17 g,en faible quantité,+1%,-3%,-1%,-6%,-11%,-2%,-3%,+9%,+59%,+59%,2,-26%,B,-26%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Lait'],4,"['FR 50.127.002 CE', 'Chef-du-Pont (Manche, France)']",['E440 - Pectines'],Lait fermenté pasteurisé sucré à la fraise avec arômes naturels,"['France', 'Chef du Pont']",https://materne.fr/produits/pompotes-brasses,,,,,
249,CONFIPOTE L'abricot-brugnon - Materne - 350g,3021762380138,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Materne', 'Confipote']",['France'],"['Fruits ', 'abricots 51', '5%', 'brugnons 13', '5%', 'sucre', 'gélifiant : pectine de fruit', 'acidifiant : acide citrique', ""correcteur d'acidité : citrate de calcium"", ' Peut contenir des noyaux et des traces de LAIT']",[],676,159,676 kj(159 kcal),"0,5","0,1",38,37,"0,6","0,04","0,016",A,350 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', ""Confitures d'abricot"", 'Pâtés végétaux']","['Peu ou pas de sucre', 'Peu de sucre', 'Aquaculture responsable', 'Allégé en sucre', 'Aquaculture responsable ASC', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",['Carrefour'],0.5 g,en faible quantité,0.1 g,en faible quantité,37 g,en quantité élevée,0.04 g,en faible quantité,-28%,-27%,-26%,+67%,+93%,-27%,-27%,+9%,+65%,+65%,7,-27%,C,-27%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,4,,"['E440 - Pectines', 'E330 - Acide citrique', 'E333 - Citrates de calcium']",Confiture d'Abricots et Brugnons allégée en sucres (30 % de sucres en moins qu'une confiture classique),['Pays-Bas'],http://www.materne.fr/produits/confipote/confipote-1,,,,,
250,Chou rouge lacto-fermenté BIO Nutriform - 300g,3022820420315,"['Bocal', 'Verre', 'Bocal en verre', 'Couvercle en métal']",['Nutriform'],['France'],"['Chou rouge lactofermenté ', 'chou rouge*-France', 'sel marin', ' Jus : eau', 'sel marin', 'antioxydant : acide ascorbique 0,03%', "" *Ingrédients issus de l'Agriculture Biologique""]",[],?,17,71 kj(17 kcal),0,0,"1,8","0,4","0,7","1,1","0,44",A,300 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes-feuilles', 'Choux cabus', 'Chou rouge']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique', 'Origine France', 'Agriculture-france']","['Les nouveaux robinsons', 'Biocoop', 'Biocoop Caluire']",0 g,en faible quantité,0 g,en faible quantité,0.4 g,en faible quantité,1.1 g,en quantité modérée,,-71%,-71%,-100%,-100%,-78%,-94%,-38%,+62%,+62%,-4,,A,,59.0%,0.0%,0.0%,14.5%,17.3%,9.2%,96,,3,,['E300 - Acide ascorbique'],Chou rouge lacto-fermenté,['72160 Connerré'],,['France'],,,,
251,Choucroute garnie au Riesling - Charles christ - 790g,3022822850110,"['Bocal verre', 'couvercle métal']",['Charles christ'],['France'],"['Choucroute 55% ', 'chou', 'sel', 'saucisses et saucisson de porc français 16% ', 'viande de porc', 'maigre de tête', 'eau', 'plasma de porc', 'gras de porc', 'tissus conjonctifs de porc', 'sel', 'épices et plantes aromatiques', 'arômes et arôme de fumée', 'conservateur : nitrite de sodium', 'antioxydant : ascorbate de sodium', 'stabilisants : di - et triphosphates', 'sauce cuisinée ', 'eau', 'sel', 'Riesling 0,2%', 'arômes naturels', 'arôme de fumée', 'antioxydant : ascorbate de sodium', 'viande de porc français 8%', 'saindoux', 'eau', 'sel', 'arôme', 'baies de genièvre', 'conservateur : nitrite de sodium', 'gélifiants : carraghénanes', 'stabilisants : di - et triphosphates', 'acidifiant : citrate de sodium']","['Non végétalien', 'Non végétarien']",370,89,370 kj(89 kcal),7,"2,8","0,9","0,7","4,8","1,3","0,52",A,790g,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']","['Sans colorants', 'Sans huile de palme', 'Nutriscore', 'Nutriscore C']",['Magasins U'],7 g,en quantité modérée,2.8 g,en quantité modérée,0.7 g,en faible quantité,1.3 g,en quantité modérée,-17%,-22%,-21%,-17%,-12%,-59%,+20%,-12%,-2%,-2%,4,-29%,C,-29%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,4,"['FR 72.090.011 CE', 'Connerré (Sarthe, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",,,http://www.charles-christ.fr/,['France'],,,,
252,Roquefort - Société - 100g,3023260001362,,['Société'],"['Estonie', 'France', 'Espagne', 'Suisse']","['Fromage français à pâte mi-dure', 'gras', 'au lait cru de brebis']",['Non végétalien'],1510,365,1510 kj(365 kcal),"31,7","22,5","0,8",0,19,"3,7","1,48",D,100 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']","['AOP', 'AOC']","['Magasins U', 'Coop']",31.7 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,3.7 g,en quantité élevée,0%,-1%,-1%,-1%,+1%,+23%,-100%,-2%,+4%,+4%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,['Lait cru de brebis'],,"['FR 12.203.018 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,,['France'],,,,,,
253,Yaos yaourt grec - Nestlé - 6x 125g,3023290022566,['Pot plastique'],['Nestlé'],['France'],"['Lait écrémé ', '61,4%', 'crème ', 'lait', ' ', '17,8%', 'sucre', 'copeaux de chocolat [pâte de cacao', 'beurre de cacao', 'sucre]', 'poudre de lait écrémé', 'amidon de mais modifié', 'épaississants ', 'pectine', 'gomme guar', 'arôme', 'ferments lacti Fabrique en Espagne avec du lait UE']",['Non végétalien'],?,157,657 kj(157 kcal),"8,8","5,8","16,2",16,"2,7","0,11","0,044",,6 x 125g,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque', 'Yaourts sucrés']",['Fabriqué en Espagne'],['Auchan'],8.8 g,en quantité modérée,5.8 g,en quantité élevée,16 g,en quantité élevée,0.11 g,en faible quantité,,+34%,+34%,+28%,+31%,+85%,+100%,-39%,-5%,-5%,8,+96%,C,+96%,,,,,,,,['Lait'],4,['ES 15.000195/GU. CE'],"['E440 - Pectines', 'E412 - Gomme de guar']",,['Espagne'],,['Lait UE'],,,,
254,"Crêpe Dentelle - Gavottes - 1,25kg",3025770007216,"['Boite métalique', 'portions de 2']",['Gavottes'],['France'],"['Farine de blé', 'sucre', 'beurre pâtissier ', 'lait', ' 9%', 'lactose et protéines de lait', 'sel', ""extrait de malt d'orge"", 'poudre à lever : carbonates de sodium', 'lécithines  ', 'soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,436,1824 kj(436 kcal),"9,9","6,7",80,47,"5,8","1,05","0,42",D,"1,25 kg","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Crêpes dentelle', 'Crêpes dentelle natures']",,,9.9 g,en quantité modérée,6.7 g,en quantité élevée,47 g,en quantité élevée,1.05 g,en quantité modérée,,-5%,-5%,-33%,-34%,+8%,+25%,-6%,+50%,+50%,25,+5%,E,+5%,87.9%,7.6%,1.9%,1.4%,1.2%,0.0%,36,"['Gluten', 'Lait', 'Soja']",4,,"['E500 - Carbonates de sodium', 'E322i - Lécithine']",,"['Bretagne', 'France']",http://www.gavottes.fr,,,,,
255,Flan Entremet Praliné Ancel,3027030006144,,['Ancel'],['France'],"['sucre', 'amidon', 'cacao', 'gélifiant ', 'carraghénanes', 'sucre caramélisé', 'colorant ', 'rocou', 'arôme', 'Traces éventuelles de GLUTEN', 'LAIT', 'FRUITS À COQUES', 'OEUF,']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,386,1615 kj(386 kcal),"0,5","0,3",94,83,"0,5","0,2","0,08",,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",4,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160b - Rocou']",,,,,,,,
256,"Actimel Fraise offre Anniversaire - Danone - 1,4kg",3033490839246,['Plastique'],['Danone'],"['Afghanistan', 'France']","['lait fermenté avec Lactobacillus casei', 'sucre liquide et sucre ', 'saccharose :8,5%', 'fraise ', '2,1%', 'dextrose ', '0,6%', 'épaississant ', 'amidon transformé', 'arômes naturels', 'correcteurs d’acidité ', 'acide citrique', 'citrate de sodium', 'vitamines D et B6']",[],323,76,323 kj(76 kcal),"1,5",1,12,"11,9","2,8","0,1","0,04",E,"1,4 kg","['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,1.5 g,en quantité modérée,1 g,en quantité modérée,11.9 g,en quantité élevée,0.1 g,en faible quantité,+6%,+6%,+6%,-1%,+6%,+6%,+11%,-3%,-6%,-6%,18,+12%,E,+12%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,4,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium']","lait fermenté à boire, sucré, aromatisé à la fraise",,,,,,,
257,Activia recette au fromage blanc FRAISE - 480g,3033491024979,['Pack'],"['Activia', 'Danone']",['France'],"['Fromage blanc ', 'lait', ' ', '40,1 %', 'lait entier', 'crème ', 'lait', 'fraise ', '8,2%', 'sucre ', '6,69', 'sirop de glucose-fructose ', '0,9%', 'épaississants : amidon transformé', 'pectine', 'gomme guar', 'p nes de lait', 'arômes', 'gélatine ', 'non porcine', 'jus concentré de carotte pourpre', ""correcte d'acidité : citrate de sodium"", 'citrate de calcium', 'acide citrique', 'ferments lactiques dont bifidobacterium ', 'Bifidus ActiRegularis', ' ', 'lait', ' Lait : Origine France']","['Non végétalien', 'Non végétarien']",?,423,1770 kj(423 kcal),"3,8","2,7","11,7",11,"4,8","0,11","0,044",,480 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,3.8 g,en quantité modérée,2.7 g,en quantité modérée,11 g,en quantité modérée,0.11 g,en faible quantité,,+360%,+361%,+16%,+32%,+6%,+9%,+27%,-4%,-4%,7,+129%,C,+129%,,,,,,,,['Lait'],4,,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E428 - Gélatine', 'E331 - Citrates de sodium', 'E330 - Acide citrique']",,,,,,,,
258,Yaourt brassé nature - Activia,3033491116803,['Pot en plastique'],"['Activia', 'Danone']",['France'],"['Lait entier ', 'Origine: France', ',lait écréme concentré ou en poudre ', 'Origine : UE', 'crème ', 'lait', ' Origine : France', 'ferments ', 'dont ferments du yaourt et Bildobacterium ', 'Bilidus ActiRegularis', ' lait']",['Non végétalien'],?,68,285 kj(68 kcal),"3,4","2,3","5,4","5,4",4,"0,1","0,04",B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts nature', 'Yaourts brassés', 'Yaourts au bifidus nature', 'Yaourts brassés nature']",,['Magasins U'],3.4 g,en quantité modérée,2.3 g,en quantité modérée,5.4 g,en quantité modérée,0.1 g,en faible quantité,,+11%,+11%,+12%,+18%,+19%,+22%,+8%,-13%,-13%,1,,B,,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,['Lait'],1,,,,,,,,,,
259,Yaourt aux ferments d'origine naturelle arôme citron - Danone - 500g,3033491273988,"['Pots en plastique', 'Frais']",['Danone'],['France'],"['yaourt ', '91,9% dont 88,4% de lait entier', 'sucre ', '7,7%', 'arôme naturel de citron']",['Non végétalien'],?,92,385 kj(92 kcal),"3,5","2,2","11,9","11,9","3,3","0,12","0,048",B,500g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts aux fruits', 'Yaourts au citron', 'Yaourts sucrés', 'Yaourts entiers']",,['Carrefour Market'],3.5 g,en quantité modérée,2.2 g,en quantité modérée,11.9 g,en quantité modérée,0.12 g,en faible quantité,,-13%,-13%,-15%,-16%,-11%,-6%,-5%,-0%,-0%,3,-17%,C,-17%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,['Lait'],4,"['FR 59.043.030 CE', 'Bailleul (Nord, France)']",,Yaourt sucré au lait entier et à l'arôme naturel de citron,,http://www.dan-on.com,['Lait de France'],,,,
260,Activia au bifidus Poire - danone - 125g,3033491314773,['par 4'],"['Danone', 'Activia']",['France'],"['lait entier ', 'origine france', 'poire 8%', 'sucre 6', '7%', 'lait écrémé concentré ou en poudre ', 'origine U', 'E', 'creme ', 'lait', 'origine france', 'épaississants  ', 'amidon transformé', 'pectine', 'arômes naturels', ""correcteur d'acidité  "", 'acide citrique', 'citrate de sodium', 'ferments lactiques dont bifidobacterium ', 'bifidus actiregularis', 'lait']","['Sans huile de palme', 'Non végétalien']",?,93,389 kj(93 kcal),"3,3","2,3","12,3","11,5","3,3","0,12","0,048",B,125g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aux fruits', 'Yaourts à la poire']",['Sans arômes artificiels'],['super U'],3.3 g,en quantité modérée,2.3 g,en quantité modérée,11.5 g,en quantité modérée,0.12 g,en faible quantité,,-2%,-4%,+5%,+12%,-7%,-8%,+0%,+8%,+8%,3,+2%,C,+2%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Lait'],4,,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium']",,,,,,,,
261,LABEYRIE Saumon fumé l'écosse - 130g,3033610056829,['Tranche'],['Labeyrie'],['France'],"['SAUMON ATLANTIQUE ', 'SALMO SALAR', 'SEL']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",828,198,828 kj(198 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",E,130 g,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]","['Certifié par Certiconfiance', 'Jamais congelé', 'Sans conservateurs', 'en:issu de saumons nourris sans OGM']",['Carrefour'],12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,+5%,+4%,+4%,+8%,+16%,+21%,+69%,-0%,+0%,+0%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,3,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,saumon fumé,['Landes FRANCE'],http://www.labeyrie.com,"['Ecosse', 'Scotland United Kingdom']",,,,
262,SAUMON SAUVAGE DU PACIFIQUE FUME AU BOIS DE HÊTRE - Labeyrie - 180g,3033610075639,"['Barquette', 'Frais', 'Sous vide']",['Labeyrie'],['France'],[],[],?,123,515 kj(123 kcal),"2,6","0,6","0,8","0,8",24,"2,9","1,16",E,180 g,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']","['Certifié par Certiconfiance', 'Pêche durable', 'Pêche durable MSC']",,2.6 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,2.9 g,en quantité élevée,,-8%,-7%,-30%,-25%,+62%,+120%,+1%,-2%,-2%,11,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,['France'],,"['Océan Pacifique', 'Océan Pacifique Nord-Est']",,,,
263,Lait en poudre - Nestle,3033710055210,,"['Nestle', 'Midor']","['France', 'Martinique', 'La Réunion']","['Lait en poudre entier', ' lait entier', 'émulsifiant ', 'lécithine de soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,60,251 kj(60 kcal),3,2,4,4,"2,6","0,1","0,04",D,,"['Produits laitiers', 'Laits']",,,3 g,en quantité modérée,2 g,en quantité modérée,4 g,en faible quantité,0.1 g,en faible quantité,,-9%,-8%,+46%,+68%,-34%,-26%,-27%,-19%,-19%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['Lait', 'Soja']",4,,['E322i - Lécithine'],,,,,,,,
264,Herbamare Intense - A.Vogel,3035626414051,['boîte verseuse'],['A.Vogel'],['France'],"['sel marin', 'plantes et légumes frais', 'algue marine kelp', ' Plantes et légumes frais ', '33% à la mise en oeuvre', ' céleri', 'poireau', 'cresson', 'oignon', 'ciboulette', 'persil', 'livèche', 'paprika', 'ail', 'raifort', 'basilic', 'marjolaine', 'romarin', 'thym', ""issus de l'agriculture biologique""]",[],?,18,75 kj(18 kcal),"0,5","0,5","2,5","1,5","0,9","93,6","37,44",,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Céleri'],,,,,,,,,,,
265,"Velouté Potiron - Royco - 65,6g",3036812100109,"['Boîte', 'Carton', 'Sachet']",['Royco'],['France'],"['Amidon de pomme de terre', 'sirop de glucose', 'sucre', 'huile de palme', 'légumes 8,7% ', 'potiron 3,1%', 'oignon', 'poireau', 'betterave', 'tomate', 'sel', 'arômes ', 'contient orge', 'blé', 'lait', 'amidon de maïs', 'beurre en poudre', 'émulsifiant : E472e', 'graisse de poule ', 'antioxydant : E310', 'lait écrémé', 'ail', 'curcuma', 'stabilisants : E340 et E451', 'acidifiant : acide citrique', 'persil', 'protéines de lait', 'céleri']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,38,159 kj(38 kcal),"1,3","0,7","6,2","2,1","0,3","0,7","0,28",B,"65,6 g","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de potiron']",['Nouveau'],"['Carrefour', 'Magasins U']",1.3 g,en faible quantité,0.7 g,en faible quantité,2.1 g,en faible quantité,0.7 g,en quantité modérée,,+6%,+6%,-11%,-19%,+36%,-0%,-57%,+11%,+11%,3,+60%,C,+60%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Céleri', 'Gluten', 'Lait']",4,,"[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E310 - Gallate de propyle', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",Soupe déshydratée au potiron,,,,['Huile de palme'],,,
266,Bouillon de Tomates & Vermicelles - Royco - 200ml,3036812100178,['Sachet'],['Royco'],"['Belgique', 'France']","['Tomate 32%', 'amidon de pomme de terre', 'vermicelles 15% ', 'farine de blé', 'sel', 'extrait de curcuma', 'sirop de glucose', 'sel', 'sucre', 'arômes ', 'contient orge', ' graisse de poulet ', 'antioxydant: E310', 'huile de palme', 'émulsifiant : E472e', 'persil', 'stabilisant : E340', 'livèche', 'céleri', 'protéines de lait', "" Peut contenir des traces de soja et d'oeuf""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,26,109 kj(26 kcal),"0,2","0,05","5,3","1,95","0,6","0,7","0,28",A,200ml,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de tomate']",,,0.2 g,en faible quantité,0.05 g,en faible quantité,1.95 g,en faible quantité,0.7 g,en quantité modérée,,-38%,-37%,-88%,-89%,-6%,-35%,-43%,-6%,-6%,3,+100%,C,+100%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Céleri', 'Gluten', 'Lait', 'Soja']",4,['A152'],"['E100 - Curcumine', 'E310 - Gallate de propyle', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition']",SOUPE DÉSHYDRATÉE,['Vedène'],,['France'],['Huile de palme'],,,
267,Le Spaghetti Bolognaise - Panzani - 400g,3038352890304,"['Boîte métal à recycler', 'Conserve', 'boîte métal à recycler']",['Panzani'],['France'],"['Source : eau', 'concentré de tomate', 'viande de bœuf 5%', 'légumes ', 'oignons', 'carottes', 'sel', ""huile d'olive vierge extra"", 'sucre', 'arômes ', 'dont lait', 'arôme de fumée', 'ail', 'amidon transformé de maïs', '\rPâte : Sphaghetti 15% ', 'semoule de blé dur', 'eau', ""blanc d'oeuf""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",307,73,307 kj(73 kcal),"1,7","0,6","10,5","2,6","3,5","0,95","0,38",C,400g,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Plats au bœuf', 'Pâtes à la bolognaise', 'Plats préparés en conserve', 'Spaghetti à la bolognaise']","['Viande Française', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free', 'Viande-bovine-francaise', 'Cuisiné sans huile de palme', 'Info-Tri Point Vert', 'Moins de 1\xa0% de sel']",['Carrefour'],1.7 g,en faible quantité,0.6 g,en faible quantité,2.6 g,en faible quantité,0.95 g,en quantité modérée,,-26%,-24%,-48%,-37%,-8%,+13%,-21%,+48%,+48%,2,+766%,B,+766%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,"['Œufs', 'Gluten', 'Lait']",4,"['FR 02.617.001 CE', 'Pouilly-sur-Serre (Aisne, France)']",['E14XX - Amidons modifiés'],Spaghetti à la sauce bolognaise,"['William Saurin (WS) - 26 Rue de Crécy - D35 - 02270 Pouilly-sur-Serre', 'Aisne', 'Picardie', 'France']",http://www.aujourdhui-panzani.com/nos-produits/pates-lisses/spaghetti-bolognaise.php,"['France', 'Viande Bovine']",,,,
