,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
1707,Epices pizza,3543020140464,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Pruneaux d’agen,3283540101087,['France'],[],[],?,234,979 kj(234 kcal),"0,5","0,1",54,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Mandarine,8436026945834,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Infusion detox,2006050030019,['France'],[],[],?,3,13 kj(3 kcal),0,0,"0,5","0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,0637913251269,0637913251269,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Le Marché,0202200026891,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Cookie au chocolat noir & noix,7640102340685,['France'],[],[],?,588,2460 kj(588 kcal),47,29,29,25,"6,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,Spray Huile D'olive,3700238377604,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,Jarret de porc demi-sel,2210536003378,['France'],[],[],?,138,577 kj(138 kcal),"7,2","2,5","0,5","0,5",18,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 53.097.001 CE', 'Évron (Mayenne, France)']",,,,,,,,,,,,
1716,Protein works Vegan,5060455514441,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Whistles,5412479021762,['France'],[],[],?,363.2,1520 kj(363 kcal),0,0,"90,5","73,2","0,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Chocolate lava cake,5600961130492,['France'],[],[],?,163,682 kj(163 kcal),8,"2,1",18,2,"4,5","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Boudin blanc,3760168114533,['France'],[],[],?,283,1184 kj(283 kcal),24,8,2,0,15,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Courgettes cuisinées à la Provençale,3416951700116,['France'],[],[],?,68,285 kj(68 kcal),5,"0,6","3,3","3,3","1,4","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,6 oeufs frais bios - GAEC faing la biche,3760019510019,['France'],[],[],?,?,,?,,?,,?,,,B,"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,6,['GAEC faing la biche'],['Carton'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,
1722,Melange sportif,2600688032737,['France'],[],[],?,483,2021 kj(483 kcal),"29,4","3,2","33,6","31,8","17,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Amino Nrg,5060339309545,['France'],[],[],?,58,243 kj(58 kcal),0,0,10,"6,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Vegan Mass Gainer,5060594776618,['France'],[],[],?,360,1506 kj(360 kcal),"2,8","0,8",60,"8,2",26,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Sauce vinaigrette echalote,3077313982504,['France'],[],[],?,470,1966 kj(470 kcal),51,"5,5","0,9",0,"0,6","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Coeurs fondants pralinés,3395328366059,['France'],[],[],?,465,1946 kj(465 kcal),29,15,44,43,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,8 PAIN AU CHOCOLAT + 8 CROISSANT PUR BEURRE LES TROIS MEUNIERS,0205111039035,['France'],[],[],?,1481,6197 kj(1481 kcal),20,13,36,"8,5","5,8","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Les découpes de dindes,2276703021910,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,0215537038505,0215537038505,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,3250541002347,3250541002347,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Boisson aux fruits orange sanguine.  Grenade,8690575874520,['France'],[],[],?,48,201 kj(48 kcal),0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Riz basmati,8901537004030,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Blanquette de volaille - FEYEL - 500g,3018252201004,['France'],"['Sauce ', '50%', ' ', 'eau', 'crème ', 'lait', 'riesling ', 'sulfites', 'beurre ', 'lait', 'farine de blé', 'fécule de pomme de terre', 'bouillon de volaille ', 'Sel', 'sirop de glucose de blé', 'arômes', 'graisse et viande de volaille ', 'origine UE', ' ', 'antioxydant : E392', 'oignon', 'plante aromatique', 'épices', 'oignons', 'sel', 'épices', 'viande de volaille cuite ', '36%', ' ', 'Pilons de poulet ', 'origine France', 'épices', 'graisse de canard', 'sel', 'carottes ', '8%', 'champignons ', '6%', ' ', 'champignons de Paris', 'sel', 'acide citrique', 'antioxydant : acide ascorbique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",385,92,385 kj(92 kcal),"4,2","1,7",3,"0,5","8,9","0,81","0,324",D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']",4.2 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,0.81 g,en quantité modérée,-34%,-38%,-37%,-29%,+1%,-78%,-74%,+11%,-4%,-4%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,500 g,['FEYEL'],"['Plastique', 'Film en plastique']",['en:Recette Traditionnelle'],,"['E392 - Extrait de romarin', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",4,,,,,"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,,,
1734,3258561668062,3258561668062,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,,,
1735,Tourte aux artichauts,8055060460136,['France'],[],[],?,129,540 kj(129 kcal),"4,1","1,2","17,2","1,2","4,8","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Petit Campagne,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,4gold,0152369581307,['France'],[],[],?,159,665 kj(159 kcal),1,0,0,0,97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Chocolat au lait fourré saveur crème,35705949,['France'],[],[],?,590,2469 kj(590 kcal),"41,3","28,9","48,6","47,7","4,9","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Jeu Playstation 4 - Lego Marvel Super Heroes,5051889452027,['France'],[],[],?,820,3431 kj(820 kcal),100,20,0,0,0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,Valrhona Jivara,9782321008576,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Moutarde de dijon,3590590060333,['France'],[],[],?,163,682 kj(163 kcal),"12,3","0,9","3,5","2,7","7,9","5,7","2,28",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",12.3 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en faible quantité,5.7 g,en quantité élevée,,+3%,+2%,+7%,+18%,-4%,+20%,+10%,-4%,-4%,12,+11%,D,+11%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,,,
1742,Crackers Raclette & Olives - Biscuiterie Saint Agône - 120g,3770006927072,['France'],"['Farine de blé bio', 'Fromage à raclette bio ', '17%', 'Olives bio ', '17%', 'Beurre bio', 'Sel', 'vinaigre bio']",['Non végétalien'],"1547,18",369.79,"1547,18 kj(369 kcal)","20,78","12,21","32,73","0,92","11,56","0,82","0,328",A,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs fourrés au fromage']",20.8 g,en quantité élevée,12.2 g,en quantité élevée,0.92 g,en faible quantité,0.82 g,en quantité modérée,-31%,-27%,-30%,-35%,-37%,-29%,-86%,+17%,-55%,-55%,14,-38%,D,-38%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,120g,['Biscuiterie Saint Agône'],"['Papier', 'Bio', 'Film transparent']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans additifs', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique', 'Emballage compostable', 'Fabrication maison']",,,3,,,"['74700 Sallanches', 'France']",https://saintagone.com,"['Gluten', 'Lait']",,['Biocoop'],,,
1743,Pâtes alimentaires,3770003264057,['France'],[],[],?,363,1519 kj(363 kcal),3,"0,6","74,4",5,"13,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Suprême oignon rouge - C’est mon produit - 4unités,3760052388491,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons rouges']",,,,,,,,,,,,,,,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,4 unités,['C’est mon produit'],,,,,,,['France'],,,,,,,,
1745,Le grand'air corrézien Oeuf,3770004515059,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Carottes râpées,8004681012293,['France'],[],[],?,72,301 kj(72 kcal),5,"0,5","4,5",4,1,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Filet de porc fume,2643306057132,['France'],[],[],?,117,490 kj(117 kcal),"2,7",1,"0,6","0,6","22,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,Galettes fines au beurre,3260260034482,['France'],[],[],?,500,2092 kj(500 kcal),23,13,66,28,"6,3","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Mandarine,8435177049088,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Choucroute chuite,2299514019884,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 61.181.001 CE', 'Gacé (Orne, France)']",,,,,,,,,,,,
1751,Tomates sechees - Ponti - 1100g,8001010003007,['France'],[],[],?,252,1054 kj(252 kcal),16,"4,3",20,13,"4,7","2,1","0,84",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée']",16 g,en quantité modérée,4.3 g,en quantité modérée,13 g,en quantité élevée,2.1 g,en quantité élevée,,+21%,+22%,+39%,+205%,+29%,+19%,+24%,-30%,-30%,11,+101%,D,+101%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,1100g,['Ponti'],['Plastique'],"['Gluten', 'Vegan preservatives free']",,,,,,['Italie'],,,,,,,
1752,Spirulina Algorigin Bio Tabl 100% Spi 1000 STK,0820103746731,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Haribo Vampire 150 Stück - 150Stück / 1200g,4001686202425,"['France', 'Allemagne']","['Glukosesirup', ' Zucker', ' Gelatine', ' brauner Zuckersirup', ' Dextrose', ' Säuerungsmittel: Citronensäure', ' Süßholzextrakt ', '3 % bezogen auf den Lakritzanteil', ' Frucht - und Pflanzenkonzentrate: Karotte', 'Spirulina', 'Apfel', 'Hibiskus', ' Aroma', ' Überzugsmittel: Bienenwachs weiß und gelb', 'Carnaubawachs']","['Non végétalien', 'Non végétarien']",1461,344,1461 kj(344 kcal),"< 0,5","< 0,1",78,49,"6,5","0,1","0,04",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",0.5 g,en faible quantité,0.1 g,en faible quantité,49 g,en quantité élevée,0.1 g,en faible quantité,+1%,0%,+1%,+25%,-40%,-3%,-15%,+77%,-13%,-13%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,150 Stück / 1200 g,['Haribo'],['Kunststoff'],"['Point Vert', ""Fabriqué dans l'UE""]",,"['E428 - Gélatine', 'E330 - Acide citrique', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",4,,,,,,,['Real'],,,
1754,Piment cerise,20210410,['France'],[],[],?,195,816 kj(195 kcal),15,8,11,"9,4","3,1","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Spargel Cremesuppe - Knorr,8710908939679,['France'],[],[],?,50,209 kj(50 kcal),"2,8","1,8",5,"0,9","1,1","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Knorr'],,,,,,,,,,,,,,,
1756,Crispy crepes,0025675031784,['France'],[],[],?,140,586 kj(140 kcal),5,"3,5",21,13,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Galette de riz quinoa et basilic,5900125008194,['France'],[],[],?,379,1586 kj(379 kcal),"3,2","0,6",74,"1,7","9,5","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,0293535045008,0293535045008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Grands nems porc,2045410008480,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Kusmi Tea peach and apricot,3585810084206,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Lait bio 1/2 ecrémé,3760239184946,['France'],[],[],?,46,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,cappellacci farcies a la truffe - dorolina - 250g,11296690,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,['Dorolina'],['Plastique'],,,,,,,,,,,,,,
1763,Morbier,0200281021255,['France'],[],[],?,357,1494 kj(357 kcal),28,20,20,1,23,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Gnocchi,0248400024015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Coeur de couenne,0211367022240,['France'],[],[],?,138,577 kj(138 kcal),"6,4","2,2","0,7","0,7","19,3","1,98","0,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,Fromage blanc battu,30003,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Cioco snack,8032758704468,['France'],[],[],?,499,2088 kj(499 kcal),24,15,62,41,"6,1","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Mais delics,3760331720073,['France'],[],[],?,?,,?,,?,,?,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,Terrine de porc,0269008021527,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Quinola,3770002946473,['France'],[],[],?,165,690 kj(165 kcal),4,"0,5","25,1","0,9","5,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Lezzet-i Ala,8681185737596,['France'],[],[],?,236,987 kj(236 kcal),"0,2","0,1","6,9",2,"0,67",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Pizza reine,0201003047881,['France'],[],[],?,203,849 kj(203 kcal),10,"5,5",14,"1,4",14,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Chum Chu Rum Citron Soju,8802340112151,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Skyr sur lit de fruits myrtille et cranberry,3033491633416,['France'],[],[],?,70,293 kj(70 kcal),"0,2","0,1","8,3","7,7","8,5",80,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Thinny mini,0025675061149,['France'],[],[],?,733.3333,3068 kj(733 kcal),"3,333","3,333",20,20,"13,333","3,833","1,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,Pipe Rigate,3700073100412,['France'],[],[],?,368,1540 kj(368 kcal),"1,4","0,3",75,"3,7",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Petit Lu Moelleux aux pépites de fruits Framboise,7622201420307,['France'],[],[],?,431,1803 kj(431 kcal),22,5,54,29,"4,5","0,53","0,212",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",22 g,en quantité élevée,5 g,en quantité modérée,29 g,en quantité élevée,0.53 g,en quantité modérée,,-9%,-9%,+6%,-50%,-16%,-2%,-31%,-10%,-10%,17,-14%,D,-14%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,['Sans arômes artificiels'],,,,,,,,,,,,,
1778,Cof.the Parf.lipton X50 Sachets,8722700228608,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Filet de poulet facon hache,3296560000872,['France'],[],[],?,100,418 kj(100 kcal),"1,3","0,39",5,"0,2","21,7","1,179","0,472",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.3 g,en faible quantité,0.39 g,en faible quantité,0.2 g,en faible quantité,1.18 g,en quantité modérée,,-24%,-23%,-55%,-48%,+944%,-18%,-5%,+57%,+57%,1,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,
1780,Radis rond,0207139007676,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Petit Lu Moelleux aux pépites de fruits Abricot,7622201420093,['France'],[],[],?,431,1803 kj(431 kcal),22,5,55,29,"4,5","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,RATZ AMBRE,3760059582014,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Tropical lager,0602561146724,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Galettes au blé noir,3419390041604,['France'],[],[],?,206,862 kj(206 kcal),"3,9","0,5",34,"0,8","6,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,Grattons,2628451022310,['France'],[],[],?,675,2824 kj(675 kcal),59,25,"2,9","0,5",33,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Boeuf seche chiffonade,8424863056042,['France'],[],[],?,177,741 kj(177 kcal),"3,35","1,6","0,9","0,9","35,9","4,73","1,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Tomme a l’ail des ourses,2481050032087,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Fefferoni,3760237380951,['France'],[],[],?,22,92 kj(22 kcal),0,0,"4,21","1,08","2,28",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Ô Maté,3770020051050,['France'],[],[],?,1,4 kj(1 kcal),1,"0,1","0,1","0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,3760013640217,3760013640217,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Biscuits fromage de brebis,7141047203900,['France'],[],[],?,465,1946 kj(465 kcal),"24,4","15,7",49,"11,4","12,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Assaisonnement au champignon pour fondue chinoise,5060786250193,['France'],[],[],?,123,515 kj(123 kcal),"4,9","0,8",10,"0,7",11,14,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Allié minceur,3663702000500,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Miel toutes fleurs,3760142510030,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Sablés Perles de Sucre,3665220220125,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Le porc du terroir occitan,2693280036609,['France'],[],[],?,171,715 kj(171 kcal),10,"2,4","0,5","0,5",20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Comté,1123936610026,['France'],[],[],?,410,1715 kj(410 kcal),34,22,"0,5","0,5",26,"0,8","0,32",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,,-2%,-2%,-2%,-3%,+8%,+87%,-3%,-5%,-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,
1798,Pastel de Nata,5603292022030,['France'],[],[],?,310,1297 kj(310 kcal),"8,28","3,68",51,11,"7,5","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Terrine a la chicoree et a la cassonade,3563800003567,['France'],[],[],?,233,975 kj(233 kcal),"16,6","6,04","5,4","5,21","15,6","1,77","0,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Tablette pure origine Pérou,3715400000006,['France'],[],[],?,538,2251 kj(538 kcal),39,24,39,35,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Côtes du Rhône les aronnieres 2015,3660989231184,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Caramels tendres au beurre salé,3760036353408,['France'],[],[],?,398,1665 kj(398 kcal),"8,5",6,78,64,"2,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Boisson à l’avoine,4260654783087,['France'],[],[],?,51,213 kj(51 kcal),"1,5","0,2","8,7","4,9","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Cheval noir bordeaux,3612179703476,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Halva,4030011710342,['France'],[],[],?,573,2397 kj(573 kcal),"41,6","4,4","35,2","24,6","14,5","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
